entity_name,owner_officer_1_first_name,bin,owner_officer_5_first_name,latitude,state,borough,individual_role_1,nta,owner_officer_2_first_name
U ARIAS CORP,edward,,,,NEW YORK,,Owner,,
PROFINISH CONSTRUCTION INC,Peter,,,,NEW YORK,,Owner,,
COSMOPOLITAN INTERIORS,Shuja,1013552.0,,40.751831,NEW YORK,MANHATTAN,Owner,MN0401,Shuja
CENTENNIAL CLOUD LLC.,Mario,3217196.0,,40.62118,NEW YORK,BROOKLYN,Officer,BK1801,
ASE HVAC,Erni,4060736.0,,40.723572,NEW YORK,QUEENS,Officer,QN0501,
VISION CONCRETE,Manuel,,,,NEW YORK,,Officer,,
ONLINE MECHANICAL CORP.,ROLANDO,4012872.0,JETMIRA,40.767562,NEW YORK,QUEENS,Owner,QN0104,Rolando
STATIC ELECTRIC,devon,2062766.0,,40.871653,NEW YORK,BRONX,Owner,BX1202,
BUDD-MORGAN CENTRAL STATION ALARM CO. INC.,Tracey,,,,NEW YORK,,Owner,,
L & D DRYWALL SERVICES CORP.,Lylian,4538772.0,,40.73822,NEW YORK,QUEENS,Owner,QN0203,Christian
MIRI GENERAL CONTRACTING INC,Eddie,3178182.0,,40.602547,NEW YORK,BROOKLYN,Owner,BK1103,
"RACANELLI CONSTRUCTION COMPANY, INC.",Michael,,,,NEW YORK,,Both,,
INTERIOR ROCK,John,,,,NEW YORK,,Owner,,
NJE TRANSPORTATION CO,Jay,,,,NEW JERSEY,,Owner,,
GIANT SEC URITY,Yaron,1084709.0,Yaron,40.737983,NEW YORK,MANHATTAN,Owner,MN0602,Barak
PRECISION STONE MARBLE AND GRANITE,Marc,,,,CONNECTICUT,,Both,,
BREEZE NATIONAL INC,Toby,,,,NEW YORK,,Officer,,Toby
RYAN'S EXCAVATION OF THE BRONX LLC,Richard,,,,NEW YORK,,Officer,,
METALPRO CUSTOM CONSTRUCTION AND RAILING LLC,Osmin,,,,NEW JERSEY,,Owner,,
D-STAR WATERPROOFERS,antonio,,,,NEW YORK,,Both,,
CLEAR IMAGE STOREFRONTS & GLASS,donald,,,,NEW YORK,,Owner,,DOnald
SHANNON ENVIRONMENTAL CORP,Ramon,,,,NEW YORK,,Officer,,Ramon
URBAN ATELIER GROUP LLC,david,1016080.0,,40.737416,NEW YORK,MANHATTAN,Officer,MN0501,David
RGB GROUP,Renzo,,,,NEW YORK,,Owner,,Renzo
JEM CONTRACTING CORP,Joseph,4432494.0,,40.71752,NEW YORK,QUEENS,Officer,QN0501,Joseph
TAK PLUMBING AND HEATING CORP,Robert,,,40.727311,NEW YORK,BROOKLYN,Owner,BK0101,ROBERT
A&E SURFACES CO INC,Jacob,,Jacob,,NEW YORK,,Both,,Jacon
COMMUNITY PAVING CORP.,Alfredo,,,,NEW YORK,,Owner,,
"EASI CAULKING AND CLADDING, INC",James,,,,NEW YORK,,Owner,,
"NEW YORK STEEL ERECTORS, INC",Nick,5117073.0,,40.619733,NEW YORK,STATEN IS,Owner,SI0104,
