q52_chart,q25_10,q49_4,q34_2,q49_1,q46_4,q52,q49a_3,income_group,q46_1,q49_5,q52a,q34_5,q37_8,q49_6
0,2,0,,0,2.0,3,0,$600+,1.0,0,,,,1
0,2,0,,1,,3,0,$600+,,0,,,,0
0,2,0,,0,,3,0,$600+,,0,,,,0
0,2,0,1.0,0,,3,0,<$200,,0,,2.0,2.0,1
0,2,0,,0,2.0,3,0,<$200,1.0,0,,,,1
1,2,0,,1,,2,0,$200 - $399,,0,chase bank,,,0
0,1,0,,0,,4,0,$200 - $399,,0,,,,1
0,2,0,2.0,0,2.0,3,0,$200 - $399,1.0,0,,2.0,2.0,1
0,2,0,,0,,3,0,$0,,0,,,,1
0,2,0,,1,2.0,3,0,$400 - $599,1.0,0,,,,0
0,1,0,,0,,3,1,$0,,0,,,,1
0,2,1,2.0,0,2.0,4,0,$200 - $399,1.0,1,,2.0,1.0,0
0,2,0,2.0,0,2.0,3,1,$600+,1.0,0,,2.0,2.0,1
0,2,0,2.0,0,,3,0,$0,,0,,2.0,2.0,0
0,2,1,2.0,0,2.0,3,0,$600+,1.0,1,,2.0,2.0,0
0,1,1,,1,,3,0,$600+,,0,,,,0
0,2,0,,0,2.0,4,0,$200 - $399,2.0,0,,,,1
0,2,0,,1,,3,0,$600+,,1,,,,0
0,2,0,,0,,3,1,<$200,,0,,,,1
0,2,0,,0,2.0,3,1,$200 - $399,1.0,0,,,,1
0,2,1,,1,2.0,3,0,$600+,1.0,0,,,,0
0,2,1,,0,,3,0,$0,,1,,,,0
0,2,0,,1,,3,0,$200 - $399,,0,,,,0
0,2,0,2.0,0,,3,0,$200 - $399,,0,,2.0,2.0,0
0,2,0,2.0,0,1.0,3,1,$400 - $599,1.0,0,,2.0,2.0,1
0,2,0,,0,1.0,3,0,<$200,1.0,0,,,,1
1,1,0,,1,,2,0,<$200,,0,"Please



Pnc",,,0
0,2,0,,1,,3,0,$0,,0,,,,0
1,2,0,,1,,1,0,$600+,,1,no meacuerdo en estos momentos,,,0
0,2,0,,0,1.0,3,0,$200 - $399,1.0,0,,,,1
0,1,1,,1,,3,0,$600+,,1,,,,0
0,2,0,,0,,3,0,<$200,,0,,,,1
0,2,0,,0,1.0,3,0,,1.0,0,,,,1
0,2,0,,0,2.0,3,0,$200 - $399,2.0,0,,,,1
0,1,0,,0,,3,1,$0,,0,,,,1
0,2,0,,0,,4,0,$200 - $399,,0,,,,1
1,2,1,,1,,2,0,,,0,"Bank of America, Chase",,,0
1,2,0,,0,,1,0,,,0,,,,1
0,2,0,,0,,3,0,$200 - $399,,0,,,,1
0,2,1,,0,2.0,3,0,$400 - $599,1.0,1,,,,0
0,2,0,2.0,0,2.0,3,0,$600+,1.0,0,,2.0,2.0,1
0,2,0,,0,1.0,3,0,$0,1.0,0,,,,1
0,1,0,2.0,0,2.0,3,0,<$200,1.0,0,,2.0,2.0,1
1,2,1,,1,,2,0,$0,,1,,,,0
0,2,0,,1,2.0,3,0,$600+,1.0,0,,,,0
0,2,0,,0,2.0,3,0,$0,2.0,0,,,,1
0,1,1,1.0,0,2.0,3,0,<$200,1.0,1,,1.0,2.0,0
0,2,0,,0,,4,0,<$200,,0,,,,1
0,2,0,,0,,3,0,$0,,0,,,,1
0,2,0,,0,,3,0,$0,,0,,,,1
0,2,0,,0,1.0,3,0,$200 - $399,1.0,0,,,,1
0,1,0,,0,2.0,3,0,$400 - $599,1.0,0,,,,0
1,1,0,,1,,2,0,$400 - $599,,0,Netspend,,,0
0,2,0,1.0,0,,3,0,$200 - $399,,0,,2.0,2.0,1
0,2,0,,0,,3,0,$600+,,0,,,,0
0,2,1,,0,,3,0,$600+,,1,,,,0
0,2,1,,1,,4,0,$400 - $599,,1,,,,0
0,2,0,,0,2.0,3,1,$400 - $599,1.0,0,,,,1
0,2,1,,1,2.0,4,0,$200 - $399,1.0,0,,,,0
1,-1,0,,1,,1,0,$0,,0,Mint,,,0
0,2,1,,0,,3,0,$200 - $399,,0,,,,0
0,2,0,2.0,0,1.0,3,0,,1.0,0,,2.0,2.0,1
1,2,1,,1,,1,0,$600+,,1,mint,,,0
1,2,0,,1,,2,0,$0,,0,BOA online banking,,,0
0,2,0,,0,2.0,3,0,$0,2.0,1,,,,0
0,1,0,,1,,-1,0,$400 - $599,,0,,,,0
0,2,1,,1,,4,0,$0,,1,,,,0
0,2,0,,0,,3,0,$400 - $599,,0,,,,0
0,2,0,,0,,3,0,$400 - $599,,0,,,,1
0,2,0,,0,2.0,3,0,$200 - $399,1.0,0,,,,1
0,1,1,,0,2.0,3,0,$600+,1.0,1,,,,0
