q45_text,q52b,q52c,q35_1,q37_4,income_group_num,q37_5,q4,q35_2,q37_2,q37_6
,,2.0,2,,2,,1.0,2,,
,3.0,,2,,2,,1.0,2,,
,,2.0,2,,5,,2.0,2,,
,3.0,,1,,5,,1.0,2,,
,,2.0,2,,4,,1.0,2,,
,,2.0,1,,5,,1.0,2,,
,,2.0,2,,1,,1.0,2,,
,,1.0,2,,3,,1.0,2,,
,,2.0,2,2.0,5,2.0,1.0,2,1.0,2.0
,,1.0,2,,5,,1.0,1,,
,1.0,,2,,3,,1.0,2,,
,,2.0,2,1.0,5,1.0,2.0,2,1.0,1.0
,,1.0,1,,2,,1.0,1,,
,,1.0,1,2.0,5,2.0,1.0,1,1.0,2.0
,,2.0,1,2.0,5,2.0,1.0,2,1.0,2.0
,,2.0,2,,5,,1.0,1,,
,,1.0,2,2.0,5,2.0,1.0,2,2.0,2.0
,,2.0,2,2.0,4,2.0,1.0,2,2.0,2.0
,,2.0,2,2.0,5,2.0,1.0,2,1.0,2.0
,,1.0,2,,3,,1.0,2,,
,,2.0,2,2.0,4,2.0,1.0,1,2.0,2.0
,,2.0,1,,5,,1.0,1,,
,,2.0,2,,1,,2.0,2,,
,,1.0,1,2.0,3,2.0,1.0,2,1.0,2.0
,,2.0,2,,5,,1.0,1,,
,,1.0,1,,5,,1.0,1,,
,,2.0,2,,5,,1.0,2,,
,,2.0,1,,4,,2.0,1,,
,,1.0,1,,4,,1.0,1,,
,,1.0,2,,5,,1.0,1,,
,,2.0,2,,3,,1.0,2,,
,,2.0,2,,5,,1.0,2,,
,,2.0,2,1.0,3,2.0,2.0,2,1.0,2.0
,,1.0,2,,5,,1.0,2,,
,,2.0,2,,6,,1.0,1,,
,,2.0,2,2.0,1,2.0,1.0,2,1.0,2.0
,,1.0,1,1.0,3,2.0,2.0,2,2.0,2.0
,,2.0,2,1.0,5,2.0,2.0,2,1.0,2.0
,3.0,,2,,3,,1.0,2,,
,,1.0,1,,3,,1.0,1,,
,1.0,,2,,4,,1.0,2,,
,,2.0,2,1.0,5,2.0,2.0,2,2.0,2.0
,,2.0,2,,3,,1.0,2,,
,,1.0,1,,4,,1.0,2,,
,,2.0,1,2.0,5,2.0,1.0,1,1.0,2.0
,,1.0,2,,1,,1.0,2,,
,,2.0,2,,2,,1.0,2,,
,,2.0,1,2.0,5,2.0,1.0,1,1.0,2.0
,3.0,,1,,4,,1.0,2,,
,,2.0,1,1.0,4,2.0,2.0,1,1.0,2.0
,2.0,,2,,4,,1.0,2,,
,,2.0,1,1.0,3,1.0,1.0,1,1.0,1.0
,,1.0,1,,5,,1.0,1,,
,,2.0,1,2.0,3,2.0,1.0,1,2.0,2.0
I don't make payments on smart phone,,2.0,2,,1,,1.0,2,,
,,1.0,2,,5,,1.0,2,,
,,2.0,2,,3,,2.0,2,,
,,2.0,2,,3,,1.0,2,,
,,1.0,1,,4,,1.0,1,,
,3.0,,2,,4,,1.0,2,,
,3.0,,1,,3,,1.0,1,,
,,1.0,1,,4,,1.0,1,,
,3.0,,2,,4,,1.0,2,,
,,2.0,1,,5,,1.0,1,,
,,1.0,1,2.0,2,2.0,1.0,1,1.0,2.0
,,1.0,2,,5,,1.0,2,,
,,1.0,2,,3,,1.0,2,,
,,1.0,1,,2,,1.0,1,,
