location_name,a31_posting_distributing_unauthorized_libelous_material_r,b18_disruptive_behavior_on_school_bus_r,a52_group_violence_p,b26_gang_related_behavior_s,a13_profane_obscene_vulgar_language_or_gestures_r,a43_reckless_behavior_with_substantial_risk_of_serious_injury_p,b45_reckless_behavior_with_substantial_risk_of_serious_injury_p,a57_using_weapon_category_ii_to_attempt_injury_upon_school_personnel_students_others_r,a24_minor_altercation_p,b36_altercation_and_or_physically_aggressive_behavior_p,b15_profane_obscene_vulgar_language_or_gestures_r,b26_gang_related_behavior_p,a24_minor_altercation_r,a26_possession_of_property_w_o_authorization_r,a40_taking_property_without_authorization_r,b36_altercation_and_or_physically_aggressive_behavior_r,a43_reckless_behavior_with_substantial_risk_of_serious_injury_r,b62_possessing_firearm_s,a27_tampering_altering_records_or_documents_p,b32_posting_distributing_unauthorized_libelous_material_s,b48_weapon_possession_category_ii_r,a58_using_weapon_category_i_to_attempt_injury_upon_school_personnel_students_others_r,a51_using_extreme_force_against_inflicting_to_inflicting_serious_injury_to_students_or_others_p,b27_tampering_altering_records_or_documents_s,b49_using_controlled_substances_w_o_authorization_illegal_drugs_or_alcohol_r,a41_false_activation_of_fire_disaster_alarm_p,a42_bomb_threat_p,b41_possession_of_controlled_substances_or_prescription_medication_w_o_authorization_illegal_drugs_or_alcohol_s,b41_possession_of_controlled_substances_or_prescription_medication_w_o_authorization_illegal_drugs_or_alcohol_r,a34_coercion_threats_r,a31_posting_distributing_unauthorized_libelous_material_p,b41_possession_of_controlled_substances_or_prescription_medication_w_o_authorization_illegal_drugs_or_alcohol_p,b42_false_activation_of_fire_disaster_alarm_r,a28_inappropriate_or_unwanted_physical_contact_grades_4_5_only_p,b19_inappropriate_use_of_electronic_technology_r,b17_misusing_property_belonging_to_others_r,b27_tampering_altering_records_or_documents_r,b49_using_controlled_substances_w_o_authorization_illegal_drugs_or_alcohol_s,a07_verbally_rude_or_disrespectful_r,b32_posting_distributing_unauthorized_libelous_material_r,a26_possession_of_property_w_o_authorization_p,b28_vandalism_graffiti_s,b21_insubordination_p,a49_threatening_using_force_to_take_property_s,a17_leaving_class_or_school_premises_w_o_permission_r,a50_using_force_against_inflicting_to_inflicting_serious_injury_to_ssa_or_school_personnel_r,b43_bomb_threat_s,a35_disruptive_behavior_on_the_school_bus_with_substantial_risks_of_injury_s,a41_false_activation_of_fire_disaster_alarm_s,b48_weapon_possession_category_ii_s,b43_bomb_threat_p,b44_taking_property_without_authorization_s,b61_using_weapon_other_than_category_i_or_ii_to_inflict_injury_upon_school_personnel_students_others_s,a52_group_violence_s,b28_vandalism_graffiti_r,b31_scholastic_dishonesty_s,a34_coercion_threats_s,b55_threaten_dangerous_behavior_violence_gang_related_s,b31_scholastic_dishonesty_p,b50_starting_a_fire_p,b30_violating_doe_s_internet_policy_p,b25_bringing_unauthorized_visitors_to_school_p,b55_threaten_dangerous_behavior_violence_gang_related_p,b37_coercion_threats_p,a37_intimidating_and_bullying_behavior_s,a32_posting_distributing_literature_or_material_containing_threats_r,b39_intimidating_and_bullying_behavior_s,a44_reckless_behavior_that_causes_serious_injury_s,a16_disruptive_behavior_on_school_bus_r,b38_disruptive_behavior_on_the_school_bus_with_substantial_risks_of_injury_p,b58_weapon_possession_category_i_p,a56_weapon_possession_category_i_p,b42_false_activation_of_fire_disaster_alarm_s,b35_posting_or_distributing_literature_or_material_containing_a_threat_of_violence_injury_or_harm_including_posting_such_material_on_the_internet_d_i_only_s,b51_threatening_using_force_to_take_property_p
P.S. 040 Augustus Saint-Gaudens,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
I.S. 285 Meyer Levin,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,15,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
New Heights Middle School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Mott Hall V,R,R,R,R,R,R,R,R,R,34,13,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,12,R,R,R,R,R,R,R,R,R,R,R
P.S. 005 Dr. Ronald Mcnair,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Juan Morel Campos Secondary School,R,R,R,R,R,R,R,R,R,21,6,R,R,R,R,6,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,6,R,R,R,R,R,R,R,R,9,R,R,7,R,R,R,R,R,R,R,R,7,R,R,R,R,R,R,R,R,R,R,R
P.S. 083 Luis Munoz Rivera,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
DreamYard Preparatory School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 233 Langston Hughes,R,R,R,R,R,R,R,R,R,R,R,R,6,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Women's Academy of Excellence,R,R,R,R,R,R,R,R,R,7,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,6,R,R,R,R,R,R,R,R,7,R,R,R,R,R,R,8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
