dbn,b40_intimidating_and_bullying_behavior_s,a27_tampering_altering_records_or_documents_r,a34_coercion_threats_p,a38_sexually_suggestive_verbal_physical_r,b24_minor_altercation_p,b28_vandalism_graffiti_p,a22_insubordination_p,b48_weapon_possession_category_ii_p,a30_vandalism_graffiti_p,b58_weapon_possession_category_i_r,a46_weapon_possession_category_ii_s,b39_intimidating_and_bullying_behavior_p,a06_disrupting_the_educational_process_r,a21_inappropriate_use_of_electronic_technology_r,a36_intimidating_and_bullying_behavior_p,b21_insubordination_r,a54_engaging_physical_sexual_aggressive_behavior_s,b46_reckless_behavior_that_causes_serious_injury_p,b33_engaging_in_sexual_conduct_p,b59_using_weapon_category_ii_to_attempt_injury_upon_school_personnel_students_others_p,b45_reckless_behavior_with_substantial_risk_of_serious_injury_r,b34_sexually_suggestive_verbal_physical_s,a40_taking_property_without_authorization_p,a20_scholastic_dishonesty_r,b55_threaten_dangerous_behavior_violence_gang_related_r,a48_starting_a_fire_s,a33_altercation_and_or_physically_aggressive_behavior_p,b23_using_slurs_bias_s,a59_using_weapon_other_than_category_i_or_ii_to_inflict_injury_upon_school_personnel_students_others_p,a35_disruptive_behavior_on_the_school_bus_with_substantial_risks_of_injury_p,a38_sexually_suggestive_verbal_physical_p,a58_using_weapon_category_i_to_attempt_injury_upon_school_personnel_students_others_s,b44_taking_property_without_authorization_r,b40_intimidating_and_bullying_behavior_p,b30_violating_doe_s_internet_policy_r,b07_disrupting_the_educational_process_p,b46_reckless_behavior_that_causes_serious_injury_s,a13_profane_obscene_vulgar_language_or_gestures_p,b24_minor_altercation_r,a57_using_weapon_category_ii_to_attempt_injury_upon_school_personnel_students_others_p,b15_profane_obscene_vulgar_language_or_gestures_p,b30_violating_doe_s_internet_policy_s,a56_weapon_possession_category_i_r,a57_using_weapon_category_ii_to_attempt_injury_upon_school_personnel_students_others_s,a40_taking_property_without_authorization_s,b39_intimidating_and_bullying_behavior_r,b20_leaving_class_or_school_premises_w_o_permission_r,b22_trespassing_p,a51_using_extreme_force_against_inflicting_to_inflicting_serious_injury_to_students_or_others_r,b45_reckless_behavior_with_substantial_risk_of_serious_injury_s,a33_altercation_and_or_physically_aggressive_behavior_r,b49_using_controlled_substances_w_o_authorization_illegal_drugs_or_alcohol_p,b60_using_weapon_category_i_to_attempt_injury_upon_school_personnel_students_others_r,a52_group_violence_r,a23_using_slurs_bias_r,b33_engaging_in_sexual_conduct_s,a29_gang_related_behavior_r,b56_engaging_physical_sexual_aggressive_behavior_s,a58_using_weapon_category_i_to_attempt_injury_upon_school_personnel_students_others_p,b44_taking_property_without_authorization_p,a36_intimidating_and_bullying_behavior_r,b53_using_extreme_force_against_inflicting_to_inflicting_serious_injury_to_students_p,a18_inappropriate_or_unwanted_physical_contact_r,b53_using_extreme_force_against_inflicting_to_inflicting_serious_injury_to_students_s,a35_disruptive_behavior_on_the_school_bus_with_substantial_risks_of_injury_r,b42_false_activation_of_fire_disaster_alarm_p,a44_reckless_behavior_that_causes_serious_injury_p,a19_violating_doe_s_internet_policy_r,b51_threatening_using_force_to_take_property_s,location_category,a36_intimidating_and_bullying_behavior_s,a37_intimidating_and_bullying_behavior_r,a15_misusing_property_belonging_to_others_r,a51_using_extreme_force_against_inflicting_to_inflicting_serious_injury_to_students_or_others_s,b38_disruptive_behavior_on_the_school_bus_with_substantial_risks_of_injury_r,a22_insubordination_r,b57_selling_distributing_illegal_drugs_or_control_substance_s,a14_lying_to_giving_false_information_r,b38_disruptive_behavior_on_the_school_bus_with_substantial_risks_of_injury_s
08X467,R,R,R,R,6,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,24,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R
10X308,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R
14K685,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R
02M534,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R
10X310,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R
10X085,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R
01M188,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R
09X454,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R
01M110,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R
04M012,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R
04M224,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R
07X522,R,R,R,R,21,9,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,23,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R
20K030,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R
06M218,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R
03M243,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R
09X117,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,7,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R
11X181,R,R,R,R,15,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R
11X567,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R
17K408,R,R,R,R,8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R
02M531,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R
02M131,R,R,R,R,7,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R
13K265,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Secondary School,R,R,R,R,R,R,R,R,R
03M185,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Early Childhood,R,R,R,R,R,R,R,R,R
03M479,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R
09X028,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R
11X087,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R
14K034,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R
07X359,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R
11X265,R,R,R,R,29,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,6,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R
14K561,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R
10X459,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,14,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R
16K025,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R
10X205,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R
12X134,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R
04M964,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R
12X372,R,R,R,R,10,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,6,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Secondary School,R,R,R,R,R,R,R,R,R
10X159,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R
09X215,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R
