bicycle_type_other,vehicle_change,bicycle_type_standard,bicycle_store_object,increased_vehicle_other,last_travel_date,survey_mode,increased_vehicle_moved,bicycle_store_other,increased_vehicle_job,reduced_vehicle_cost,num_kids
995,-9998,995,995,995,2019-06-08T00:00:00.000,1,995,995,995,995,0
995,3,995,995,995,2019-06-11T00:00:00.000,1,995,995,995,995,0
995,3,995,995,995,2019-06-14T00:00:00.000,1,995,995,995,995,0
995,3,995,995,995,2019-06-14T00:00:00.000,1,995,995,995,995,0
995,3,995,995,995,2019-06-07T00:00:00.000,1,995,995,995,995,0
995,3,995,995,995,2019-06-08T00:00:00.000,1,995,995,995,995,2
995,3,995,995,995,2019-06-14T00:00:00.000,1,995,995,995,995,0
995,3,995,995,995,2019-06-14T00:00:00.000,1,995,995,995,995,0
995,3,995,995,995,2019-06-04T00:00:00.000,1,995,995,995,995,1
0,3,1,0,995,2019-06-27T00:00:00.000,1,995,0,995,995,0
995,3,995,995,995,2019-06-07T00:00:00.000,1,995,995,995,995,0
995,3,995,995,995,2019-06-24T00:00:00.000,1,995,995,995,995,0
0,3,1,0,995,2019-06-07T00:00:00.000,1,995,0,995,995,0
995,3,995,995,995,2019-06-08T00:00:00.000,1,995,995,995,995,0
995,2,995,995,1,2019-06-09T00:00:00.000,1,0,995,0,995,0
995,3,995,995,995,2019-06-02T00:00:00.000,1,995,995,995,995,3
0,3,1,0,995,2019-05-31T00:00:00.000,1,995,0,995,995,0
0,3,1,0,995,2019-06-07T00:00:00.000,1,995,0,995,995,0
0,3,1,0,995,2019-06-14T00:00:00.000,1,995,0,995,995,0
995,3,995,995,995,2019-06-08T00:00:00.000,1,995,995,995,995,0
995,3,995,995,995,2019-06-13T00:00:00.000,1,995,995,995,995,0
995,3,995,995,995,2019-06-08T00:00:00.000,1,995,995,995,995,0
0,3,1,0,995,2019-06-12T00:00:00.000,1,995,0,995,995,1
995,3,995,995,995,2019-06-10T00:00:00.000,1,995,995,995,995,0
995,3,995,995,995,2019-06-07T00:00:00.000,1,995,995,995,995,0
0,3,1,0,995,2019-06-13T00:00:00.000,1,995,0,995,995,1
0,3,1,0,995,2019-05-30T00:00:00.000,1,995,0,995,995,0
0,3,1,0,995,2019-06-09T00:00:00.000,1,995,0,995,995,1
0,3,1,0,995,2019-06-12T00:00:00.000,1,995,0,995,995,0
0,-9998,1,0,995,2019-05-31T00:00:00.000,1,995,0,995,995,0
0,3,1,0,995,2019-06-06T00:00:00.000,1,995,0,995,995,0
0,3,1,0,995,2019-06-21T00:00:00.000,1,995,0,995,995,0
995,1,995,995,995,2019-06-16T00:00:00.000,1,995,995,995,1,0
995,2,995,995,0,2019-06-14T00:00:00.000,1,0,995,0,995,0
0,3,1,0,995,2019-06-07T00:00:00.000,1,995,0,995,995,0
995,3,995,995,995,2019-06-18T00:00:00.000,1,995,995,995,995,0
0,3,1,0,995,2019-06-13T00:00:00.000,1,995,0,995,995,0
995,3,995,995,995,2019-06-16T00:00:00.000,1,995,995,995,995,0
995,2,995,995,0,2019-06-07T00:00:00.000,1,0,995,0,995,0
995,3,995,995,995,2019-06-13T00:00:00.000,1,995,995,995,995,2
995,3,995,995,995,2019-06-13T00:00:00.000,1,995,995,995,995,0
0,3,1,0,995,2019-06-02T00:00:00.000,1,995,0,995,995,0
0,3,1,0,995,2019-06-05T00:00:00.000,1,995,0,995,995,0
995,3,995,995,995,2019-06-12T00:00:00.000,1,995,995,995,995,1
0,3,1,0,995,2019-06-30T00:00:00.000,1,995,0,995,995,0
0,3,1,0,995,2019-06-18T00:00:00.000,1,995,0,995,995,0
0,3,1,0,995,2019-06-14T00:00:00.000,1,995,1,995,995,0
995,3,995,995,995,2019-06-15T00:00:00.000,1,995,995,995,995,0
995,3,995,995,995,2019-06-11T00:00:00.000,1,995,995,995,995,0
0,3,1,1,995,2019-06-29T00:00:00.000,1,995,0,995,995,0
995,3,995,995,995,2019-06-04T00:00:00.000,1,995,995,995,995,0
0,3,1,0,995,2019-06-18T00:00:00.000,1,995,0,995,995,2
0,1,1,0,995,2019-06-13T00:00:00.000,1,995,0,995,1,0
0,3,1,1,995,2019-06-17T00:00:00.000,1,995,0,995,995,1
0,3,1,0,995,2019-06-08T00:00:00.000,1,995,0,995,995,0
0,1,1,0,995,2019-06-19T00:00:00.000,1,995,0,995,0,1
0,3,1,0,995,2019-06-11T00:00:00.000,1,995,0,995,995,0
995,3,995,995,995,2019-06-11T00:00:00.000,1,995,995,995,995,0
0,3,1,0,995,2019-06-18T00:00:00.000,1,995,0,995,995,0
995,3,995,995,995,2019-06-13T00:00:00.000,1,995,995,995,995,0
0,1,1,0,995,2019-06-10T00:00:00.000,1,995,0,995,0,1
0,3,1,0,995,2019-06-28T00:00:00.000,1,995,0,995,995,0
995,3,995,995,995,2019-06-27T00:00:00.000,1,995,995,995,995,0
995,1,995,995,995,2019-06-09T00:00:00.000,1,995,995,995,1,0
995,3,995,995,995,2019-06-30T00:00:00.000,1,995,995,995,995,0
0,1,1,0,995,2019-06-22T00:00:00.000,1,995,0,995,1,0
995,3,995,995,995,2019-06-09T00:00:00.000,1,995,995,995,995,0
995,3,995,995,995,2019-06-14T00:00:00.000,1,995,995,995,995,0
995,1,995,995,995,2019-06-19T00:00:00.000,1,995,995,995,1,0
995,3,995,995,995,2019-06-07T00:00:00.000,1,995,995,995,995,0
995,3,995,995,995,2019-05-30T00:00:00.000,1,995,995,995,995,0
0,3,1,1,995,2019-06-20T00:00:00.000,1,995,0,995,995,0
995,3,995,995,995,2019-06-13T00:00:00.000,1,995,995,995,995,0
0,3,1,0,995,2019-05-31T00:00:00.000,1,995,0,995,995,2
995,3,995,995,995,2019-06-12T00:00:00.000,1,995,995,995,995,0
995,3,995,995,995,2019-06-18T00:00:00.000,1,995,995,995,995,0
995,3,995,995,995,2019-06-01T00:00:00.000,1,995,995,995,995,0
0,3,1,0,995,2019-06-13T00:00:00.000,1,995,0,995,995,0
995,3,995,995,995,2019-06-11T00:00:00.000,1,995,995,995,995,0
0,3,1,0,995,2019-06-10T00:00:00.000,1,995,0,995,995,0
0,3,1,0,995,2019-06-07T00:00:00.000,1,995,0,995,995,0
995,2,995,995,1,2019-06-28T00:00:00.000,1,0,995,0,995,0
995,3,995,995,995,2019-06-05T00:00:00.000,1,995,995,995,995,1
995,3,995,995,995,2019-06-11T00:00:00.000,1,995,995,995,995,0
995,2,995,995,0,2019-06-11T00:00:00.000,1,0,995,0,995,0
995,3,995,995,995,2019-06-13T00:00:00.000,1,995,995,995,995,0
995,3,995,995,995,2019-05-30T00:00:00.000,1,995,995,995,995,0
995,3,995,995,995,2019-06-16T00:00:00.000,1,995,995,995,995,0
995,1,995,995,995,2019-06-27T00:00:00.000,1,995,995,995,0,0
995,3,995,995,995,2019-06-10T00:00:00.000,1,995,995,995,995,0
995,3,995,995,995,2019-06-17T00:00:00.000,1,995,995,995,995,0
995,3,995,995,995,2019-06-13T00:00:00.000,1,995,995,995,995,0
995,3,995,995,995,2019-06-16T00:00:00.000,1,995,995,995,995,0
0,1,1,0,995,2019-06-16T00:00:00.000,1,995,0,995,1,0
995,3,995,995,995,2019-06-14T00:00:00.000,1,995,995,995,995,3
995,3,995,995,995,2019-06-09T00:00:00.000,1,995,995,995,995,0
0,1,1,0,995,2019-06-05T00:00:00.000,1,995,0,995,0,2
0,3,1,0,995,2019-06-09T00:00:00.000,1,995,0,995,995,1
0,3,1,0,995,2019-06-07T00:00:00.000,1,995,0,995,995,1
995,3,995,995,995,2019-06-15T00:00:00.000,1,995,995,995,995,0
0,3,1,0,995,2019-06-01T00:00:00.000,1,995,0,995,995,0
0,1,1,0,995,2019-06-14T00:00:00.000,1,995,0,995,1,0
995,3,995,995,995,2019-06-15T00:00:00.000,1,995,995,995,995,0
995,3,995,995,995,2019-06-12T00:00:00.000,1,995,995,995,995,2
0,3,1,0,995,2019-06-09T00:00:00.000,1,995,0,995,995,0
995,3,995,995,995,2019-06-19T00:00:00.000,1,995,995,995,995,0
995,3,995,995,995,2019-06-27T00:00:00.000,1,995,995,995,995,0
995,3,995,995,995,2019-06-08T00:00:00.000,1,995,995,995,995,0
995,3,995,995,995,2019-06-16T00:00:00.000,1,995,995,995,995,0
995,3,995,995,995,2019-06-14T00:00:00.000,1,995,995,995,995,0
995,-9998,995,995,995,2019-06-09T00:00:00.000,1,995,995,995,995,0
995,3,995,995,995,2019-06-04T00:00:00.000,1,995,995,995,995,0
995,3,995,995,995,2019-06-20T00:00:00.000,1,995,995,995,995,0
995,3,995,995,995,2019-06-06T00:00:00.000,1,995,995,995,995,0
0,3,1,0,995,2019-06-21T00:00:00.000,1,995,0,995,995,0
995,3,995,995,995,2019-06-17T00:00:00.000,1,995,995,995,995,0
0,3,1,0,995,2019-06-22T00:00:00.000,1,995,0,995,995,0
0,3,1,0,995,2019-06-07T00:00:00.000,1,995,0,995,995,0
0,3,1,0,995,2019-06-15T00:00:00.000,1,995,0,995,995,0
995,3,995,995,995,2019-06-11T00:00:00.000,1,995,995,995,995,0
995,3,995,995,995,2019-05-30T00:00:00.000,1,995,995,995,995,0
995,3,995,995,995,2019-06-23T00:00:00.000,1,995,995,995,995,0
0,3,1,0,995,2019-06-07T00:00:00.000,1,995,0,995,995,2
995,1,995,995,995,2019-06-13T00:00:00.000,1,995,995,995,0,0
995,1,995,995,995,2019-06-03T00:00:00.000,1,995,995,995,0,0
995,1,995,995,995,2019-06-07T00:00:00.000,1,995,995,995,0,2
0,3,1,0,995,2019-06-13T00:00:00.000,1,995,0,995,995,4
995,1,995,995,995,2019-06-09T00:00:00.000,1,995,995,995,0,2
995,1,995,995,995,2019-06-22T00:00:00.000,1,995,995,995,1,0
0,3,1,1,995,2019-06-10T00:00:00.000,1,995,0,995,995,0
0,3,1,0,995,2019-06-07T00:00:00.000,1,995,0,995,995,0
0,3,1,0,995,2019-06-03T00:00:00.000,1,995,0,995,995,2
995,3,995,995,995,2019-06-14T00:00:00.000,1,995,995,995,995,0
995,3,995,995,995,2019-06-14T00:00:00.000,1,995,995,995,995,0
995,3,995,995,995,2019-06-24T00:00:00.000,1,995,995,995,995,0
0,3,1,0,995,2019-06-18T00:00:00.000,1,995,0,995,995,0
995,3,995,995,995,2019-06-27T00:00:00.000,1,995,995,995,995,2
995,3,995,995,995,2019-06-14T00:00:00.000,1,995,995,995,995,0
0,3,1,0,995,2019-06-29T00:00:00.000,1,995,0,995,995,5
995,3,995,995,995,2019-06-17T00:00:00.000,1,995,995,995,995,0
0,2,1,0,0,2019-06-30T00:00:00.000,1,0,0,0,995,2
0,3,1,0,995,2019-06-16T00:00:00.000,1,995,0,995,995,0
0,3,1,0,995,2019-06-20T00:00:00.000,1,995,0,995,995,0
0,2,1,1,0,2019-06-15T00:00:00.000,1,0,0,0,995,3
995,1,995,995,995,2019-06-14T00:00:00.000,1,995,995,995,1,0
0,1,1,-9998,995,2019-06-25T00:00:00.000,1,995,-9998,995,1,0
995,3,995,995,995,2019-06-27T00:00:00.000,1,995,995,995,995,0
0,3,1,0,995,2019-06-15T00:00:00.000,1,995,0,995,995,0
995,-9998,995,995,995,2019-05-31T00:00:00.000,1,995,995,995,995,0
995,3,995,995,995,2019-06-08T00:00:00.000,1,995,995,995,995,2
0,3,1,-9998,995,2019-06-27T00:00:00.000,1,995,-9998,995,995,0
995,3,995,995,995,2019-06-03T00:00:00.000,1,995,995,995,995,0
995,3,995,995,995,2019-06-07T00:00:00.000,1,995,995,995,995,3
995,3,995,995,995,2019-06-14T00:00:00.000,1,995,995,995,995,0
0,3,1,0,995,2019-06-07T00:00:00.000,1,995,0,995,995,1
995,3,995,995,995,2019-06-13T00:00:00.000,1,995,995,995,995,1
0,3,1,0,995,2019-06-28T00:00:00.000,1,995,0,995,995,1
0,3,1,0,995,2019-06-12T00:00:00.000,1,995,0,995,995,0
995,3,995,995,995,2019-06-15T00:00:00.000,1,995,995,995,995,0
0,3,1,0,995,2019-06-13T00:00:00.000,1,995,0,995,995,0
0,3,1,1,995,2019-06-30T00:00:00.000,1,995,0,995,995,2
995,3,995,995,995,2019-06-07T00:00:00.000,1,995,995,995,995,0
995,3,995,995,995,2019-06-09T00:00:00.000,1,995,995,995,995,0
995,3,995,995,995,2019-06-09T00:00:00.000,1,995,995,995,995,1
0,3,1,0,995,2019-06-15T00:00:00.000,1,995,0,995,995,1
995,3,995,995,995,2019-06-08T00:00:00.000,1,995,995,995,995,0
995,1,995,995,995,2019-06-16T00:00:00.000,1,995,995,995,1,0
0,3,1,0,995,2019-06-25T00:00:00.000,1,995,0,995,995,0
0,3,1,0,995,2019-06-13T00:00:00.000,1,995,0,995,995,2
0,-9998,1,-9998,995,2019-06-13T00:00:00.000,1,995,-9998,995,995,0
995,3,995,995,995,2019-06-04T00:00:00.000,1,995,995,995,995,2
995,3,995,995,995,2019-05-30T00:00:00.000,1,995,995,995,995,0
995,3,995,995,995,2019-06-16T00:00:00.000,1,995,995,995,995,0
995,-9998,995,995,995,2019-06-15T00:00:00.000,1,995,995,995,995,0
995,3,995,995,995,2019-06-11T00:00:00.000,1,995,995,995,995,1
995,1,995,995,995,2019-06-11T00:00:00.000,1,995,995,995,1,0
995,3,995,995,995,2019-06-09T00:00:00.000,1,995,995,995,995,0
995,3,995,995,995,2019-06-08T00:00:00.000,1,995,995,995,995,0
995,1,995,995,995,2019-05-31T00:00:00.000,1,995,995,995,0,0
0,1,1,0,995,2019-06-07T00:00:00.000,1,995,0,995,1,0
0,3,1,0,995,2019-06-14T00:00:00.000,1,995,0,995,995,0
0,3,1,0,995,2019-05-30T00:00:00.000,1,995,0,995,995,1
0,3,1,0,995,2019-06-26T00:00:00.000,1,995,0,995,995,1
995,3,995,995,995,2019-06-14T00:00:00.000,1,995,995,995,995,0
995,3,995,995,995,2019-06-07T00:00:00.000,1,995,995,995,995,0
1,3,1,0,995,2019-06-14T00:00:00.000,1,995,0,995,995,0
995,3,995,995,995,2019-06-15T00:00:00.000,1,995,995,995,995,0
0,3,1,0,995,2019-06-14T00:00:00.000,1,995,0,995,995,0
995,3,995,995,995,2019-06-11T00:00:00.000,1,995,995,995,995,0
0,3,1,0,995,2019-06-13T00:00:00.000,1,995,1,995,995,0
