indicator_5_5,indicator_4_6,indicator_1_5,indicator_2_4,indicator_5_7,indicator_3_8
No Data,P,No Data,U,No Data,P
No Data,WD,No Data,P,No Data,P
No Data,WD,No Data,WD,No Data,WD
No Data,WD,No Data,WD,No Data,WD
No Data,P,No Data,WD,No Data,WD
No Data,WD,No Data,P,No Data,WD
No Data,U,No Data,U,No Data,P
No Data,P,No Data,P,No Data,P
No Data,P,No Data,U,No Data,U
No Data,WD,No Data,P,No Data,WD
No Data,WD,No Data,P,No Data,WD
No Data,P,No Data,WD,No Data,P
No Data,WD,No Data,P,No Data,P
No Data,WD,No Data,WD,No Data,WD
No Data,P,No Data,U,No Data,U
No Data,WD,No Data,WD,No Data,WD
No Data,WD,No Data,WD,No Data,WD
No Data,P,No Data,U,No Data,P
No Data,WD,No Data,P,No Data,WD
No Data,WD,No Data,WD,No Data,P
No Data,P,No Data,P,No Data,P
No Data,WD,No Data,P,No Data,P
No Data,WD,No Data,WD,No Data,WD
No Data,P,No Data,U,No Data,P
No Data,WD,No Data,P,No Data,WD
No Data,WD,No Data,U,No Data,WD
No Data,WD,No Data,WD,No Data,WD
No Data,WD,No Data,WD,No Data,WD
No Data,U,No Data,P,No Data,P
No Data,P,No Data,U,No Data,P
No Data,P,No Data,P,No Data,U
No Data,P,No Data,U,No Data,U
No Data,WD,No Data,WD,No Data,WD
No Data,WD,No Data,WD,No Data,WD
No Data,WD,No Data,WD,No Data,WD
No Data,WD,No Data,WD,No Data,WD
No Data,WD,No Data,WD,No Data,WD
No Data,U,No Data,P,No Data,P
No Data,WD,No Data,P,No Data,P
No Data,WD,No Data,U,No Data,WD
No Data,P,No Data,P,No Data,P
No Data,P,No Data,P,No Data,P
No Data,WD,No Data,WD,No Data,WD
No Data,WD,No Data,WD,No Data,WD
No Data,WD,No Data,WD,No Data,WD
No Data,P,No Data,P,No Data,P
No Data,WD,No Data,WD,No Data,WD
No Data,WD,No Data,P,No Data,WD
No Data,WD,No Data,WD,No Data,WD
No Data,P,No Data,P,No Data,WD
No Data,WD,No Data,P,No Data,P
No Data,WD,No Data,WD,No Data,WD
No Data,WD,No Data,WD,No Data,WD
No Data,P,No Data,U,No Data,U
No Data,WD,No Data,WD,No Data,WD
No Data,WD,No Data,WD,No Data,WD
No Data,WD,No Data,WD,No Data,WD
No Data,P,No Data,WD,No Data,P
No Data,P,No Data,WD,No Data,P
No Data,WD,No Data,P,No Data,WD
No Data,WD,No Data,P,No Data,P
No Data,WD,No Data,WD,No Data,WD
No Data,WD,No Data,WD,No Data,WD
No Data,P,No Data,P,No Data,WD
No Data,WD,No Data,WD,No Data,WD
No Data,WD,No Data,P,No Data,WD
No Data,WD,No Data,P,No Data,WD
No Data,WD,No Data,WD,No Data,WD
No Data,WD,No Data,WD,No Data,WD
No Data,P,No Data,U,No Data,P
No Data,WD,No Data,WD,No Data,P
No Data,WD,No Data,WD,No Data,WD
No Data,P,No Data,P,No Data,P
No Data,WD,No Data,WD,No Data,WD
No Data,WD,No Data,WD,No Data,WD
No Data,WD,No Data,WD,No Data,WD
No Data,WD,No Data,WD,No Data,WD
No Data,WD,No Data,P,No Data,P
No Data,WD,No Data,WD,No Data,WD
No Data,P,No Data,WD,No Data,P
No Data,P,No Data,P,No Data,WD
No Data,WD,No Data,WD,No Data,WD
No Data,WD,No Data,WD,No Data,WD
No Data,WD,No Data,WD,No Data,WD
No Data,WD,No Data,WD,No Data,WD
No Data,WD,No Data,WD,No Data,WD
No Data,WD,No Data,WD,No Data,WD
No Data,WD,No Data,WD,No Data,WD
No Data,WD,No Data,WD,No Data,WD
No Data,WD,No Data,P,No Data,WD
No Data,WD,No Data,WD,No Data,WD
No Data,P,No Data,P,No Data,P
No Data,P,No Data,P,No Data,P
No Data,WD,No Data,P,No Data,P
No Data,WD,No Data,P,No Data,WD
No Data,WD,No Data,P,No Data,P
No Data,P,No Data,U,No Data,P
No Data,P,No Data,WD,No Data,P
No Data,P,No Data,P,No Data,WD
No Data,P,No Data,U,No Data,P
No Data,WD,No Data,WD,No Data,WD
No Data,WD,No Data,WD,No Data,WD
No Data,WD,No Data,P,No Data,P
No Data,P,No Data,P,No Data,P
No Data,WD,No Data,WD,No Data,WD
No Data,WD,No Data,WD,No Data,WD
No Data,P,No Data,P,No Data,P
No Data,P,No Data,P,No Data,P
No Data,WD,No Data,P,No Data,P
No Data,WD,No Data,WD,No Data,WD
No Data,WD,No Data,P,No Data,P
No Data,WD,No Data,WD,No Data,WD
No Data,WD,No Data,P,No Data,P
No Data,WD,No Data,WD,No Data,WD
No Data,P,No Data,P,No Data,P
No Data,WD,No Data,WD,No Data,WD
No Data,P,No Data,P,No Data,WD
No Data,WD,No Data,WD,No Data,WD
