indicator_4_2,indicator_3_3,indicator_4_5,indicator_5_4,indicator_2_1,indicatoroverall_2,indicator_5_3,indicator_4_1,indicator_2_2
P,P,WD,U,P,P,P,P,P
P,WD,WD,P,P,P,WD,P,WD
P,P,P,P,P,P,P,P,P
P,P,P,P,U,U,P,P,P
U,U,P,U,U,U,U,P,U
WD,WD,WD,WD,WD,WD,P,WD,WD
P,P,P,U,U,U,U,P,U
WD,WD,WD,WD,WD,WD,WD,WD,WD
U,P,U,U,U,U,U,U,U
WD,WD,WD,WD,WD,WD,WD,WD,WD
WD,P,WD,WD,WD,WD,WD,WD,P
P,P,P,U,U,U,U,P,U
U,U,P,U,U,U,U,U,U
WD,WD,WD,WD,P,P,WD,WD,P
P,WD,WD,P,P,P,WD,P,P
P,WD,WD,P,U,P,P,P,P
WD,P,WD,P,P,P,P,P,P
WD,WD,WD,WD,WD,WD,WD,P,WD
P,P,P,P,P,P,P,P,P
WD,WD,WD,WD,WD,WD,WD,WD,WD
P,P,WD,U,P,P,P,P,P
WD,WD,WD,WD,WD,WD,WD,WD,WD
P,P,WD,P,P,P,P,P,P
WD,WD,WD,P,WD,P,P,WD,P
P,P,P,P,P,P,P,P,P
P,P,P,U,U,P,U,P,P
WD,WD,WD,P,P,P,P,WD,P
WD,WD,WD,P,P,P,WD,WD,P
P,P,P,U,P,U,U,P,U
P,P,WD,P,P,P,WD,P,WD
P,WD,WD,P,P,P,P,WD,P
WD,P,WD,P,WD,P,P,P,P
P,WD,WD,P,P,P,P,WD,P
P,P,WD,U,P,P,P,P,P
P,P,WD,U,P,P,U,P,P
WD,WD,WD,WD,WD,WD,WD,WD,WD
P,P,P,P,P,P,P,P,P
P,WD,WD,P,P,P,P,P,P
WD,P,WD,P,P,P,P,WD,P
WD,WD,WD,WD,WD,WD,WD,WD,WD
U,P,P,U,U,U,U,P,U
P,P,WD,P,P,P,P,P,P
P,WD,WD,WD,P,WD,WD,P,WD
WD,P,WD,P,P,P,P,P,P
P,P,P,U,P,U,U,P,U
P,P,P,U,U,U,U,P,U
P,P,WD,P,P,U,P,P,U
WD,WD,WD,P,P,WD,P,WD,WD
WD,WD,WD,P,P,P,P,WD,P
WD,P,WD,P,P,P,P,WD,P
WD,WD,WD,P,P,P,WD,P,WD
P,P,P,U,P,P,U,P,P
WD,WD,WD,WD,P,WD,WD,WD,P
P,WD,WD,P,WD,P,WD,WD,P
P,P,P,P,U,P,P,P,P
P,P,WD,U,P,U,U,P,U
P,P,P,P,P,P,P,P,P
P,WD,WD,P,P,P,P,P,P
P,P,WD,P,P,P,P,P,P
WD,WD,WD,WD,WD,WD,WD,WD,WD
WD,WD,WD,WD,WD,WD,WD,P,P
WD,WD,WD,WD,WD,WD,WD,WD,WD
P,P,P,U,U,U,P,P,U
WD,WD,WD,WD,WD,WD,WD,WD,WD
WD,P,WD,U,U,U,U,WD,U
P,P,P,U,U,U,U,P,U
P,P,WD,P,U,P,P,P,U
WD,WD,WD,WD,P,WD,WD,WD,P
WD,WD,WD,WD,WD,WD,WD,WD,WD
P,P,WD,P,P,P,P,P,P
WD,WD,WD,WD,WD,WD,WD,WD,WD
P,P,WD,U,P,P,P,P,P
WD,P,WD,P,P,P,P,P,WD
WD,WD,WD,WD,WD,WD,WD,WD,WD
P,WD,WD,P,P,P,P,P,P
P,WD,WD,P,P,P,P,P,U
WD,WD,WD,WD,WD,P,WD,P,P
WD,WD,WD,WD,WD,WD,WD,WD,WD
WD,WD,WD,P,P,P,P,WD,P
P,P,WD,P,P,P,U,P,P
WD,WD,WD,P,WD,WD,WD,WD,P
P,WD,WD,U,P,P,P,WD,P
WD,WD,WD,P,WD,WD,WD,WD,P
WD,WD,WD,WD,WD,WD,WD,WD,WD
WD,WD,WD,P,WD,WD,P,WD,WD
P,P,P,P,P,P,P,P,P
P,P,P,P,P,P,P,P,P
P,WD,WD,P,P,P,P,P,P
WD,WD,WD,WD,WD,WD,WD,WD,WD
WD,P,WD,P,P,P,P,WD,P
P,WD,WD,P,P,P,P,WD,P
P,P,WD,U,P,P,P,P,U
WD,WD,P,P,P,P,P,WD,P
WD,WD,WD,WD,WD,WD,WD,WD,WD
P,P,WD,U,P,P,P,P,U
P,WD,WD,P,WD,WD,WD,P,P
P,WD,WD,P,P,P,P,P,P
P,P,P,U,U,P,P,P,U
WD,WD,WD,P,P,P,P,WD,P
P,P,WD,P,P,P,P,P,P
WD,WD,WD,P,P,P,P,WD,P
WD,WD,WD,P,P,WD,P,WD,WD
P,P,P,U,U,U,P,P,U
P,WD,WD,P,P,WD,WD,WD,WD
P,WD,P,P,P,P,P,P,P
WD,P,WD,P,P,P,P,P,P
WD,WD,WD,U,P,P,U,WD,P
P,P,WD,P,U,P,P,P,P
U,P,P,U,U,U,U,P,U
WD,WD,WD,WD,WD,WD,WD,WD,WD
WD,WD,WD,WD,WD,P,WD,WD,P
P,WD,WD,P,P,P,P,P,P
P,P,WD,U,P,P,U,P,P
U,U,P,U,U,U,P,P,U
P,WD,WD,WD,WD,WD,WD,WD,WD
P,P,WD,U,U,P,U,P,U
WD,WD,WD,WD,WD,WD,WD,WD,WD
P,P,WD,P,P,P,P,P,P
U,P,P,U,U,U,U,U,U
P,P,P,P,P,P,P,P,P
P,WD,WD,P,WD,WD,WD,P,WD
WD,WD,WD,P,WD,WD,WD,WD,WD
WD,WD,WD,WD,WD,WD,WD,WD,WD
WD,WD,WD,WD,WD,WD,WD,WD,WD
P,P,WD,P,WD,P,P,P,WD
WD,P,WD,P,P,P,P,WD,P
P,P,WD,P,WD,WD,WD,WD,P
WD,P,WD,WD,WD,WD,WD,P,WD
WD,WD,WD,WD,P,P,P,P,P
WD,WD,WD,WD,WD,WD,WD,WD,P
P,P,P,P,P,P,P,P,P
P,P,P,P,P,P,P,P,P
P,P,WD,P,WD,WD,WD,WD,P
P,P,WD,P,P,P,P,P,P
WD,WD,WD,WD,P,WD,WD,WD,WD
U,P,U,U,U,U,U,U,U
P,P,P,P,P,P,U,P,P
P,P,P,P,P,P,P,P,P
WD,WD,WD,P,P,WD,P,P,P
WD,P,WD,P,P,P,P,P,P
WD,WD,WD,WD,WD,WD,WD,WD,WD
WD,WD,WD,WD,WD,WD,WD,WD,WD
P,WD,WD,WD,P,WD,P,WD,WD
WD,P,P,P,P,P,P,P,P
WD,WD,WD,WD,P,P,WD,WD,P
P,P,WD,P,WD,WD,WD,P,WD
WD,WD,WD,WD,WD,WD,WD,WD,WD
P,P,U,U,U,P,P,P,P
P,P,WD,U,P,U,U,U,U
P,P,WD,U,P,P,U,P,U
P,P,P,P,U,U,P,P,U
P,P,WD,U,U,U,U,P,U
WD,WD,WD,WD,WD,WD,WD,WD,WD
P,P,WD,P,P,P,P,P,P
P,P,WD,P,P,P,P,P,P
WD,WD,WD,WD,WD,WD,WD,WD,WD
WD,WD,WD,P,WD,P,P,WD,P
P,P,WD,P,U,P,P,P,U
WD,WD,WD,WD,WD,WD,WD,WD,WD
WD,WD,WD,WD,P,WD,WD,WD,P
WD,WD,WD,WD,WD,WD,WD,WD,WD
U,WD,WD,U,P,P,P,P,U
WD,WD,WD,WD,WD,WD,WD,WD,WD
WD,P,WD,P,P,P,P,P,P
P,WD,WD,U,P,P,U,P,P
P,WD,WD,WD,WD,WD,WD,WD,WD
WD,P,WD,WD,WD,WD,WD,WD,P
P,WD,P,P,P,P,P,P,P
WD,WD,WD,WD,WD,WD,WD,WD,P
P,P,WD,U,U,U,P,P,U
WD,P,WD,P,WD,P,P,P,WD
P,P,WD,U,U,P,U,P,U
U,P,U,U,U,U,U,U,U
WD,WD,WD,P,P,P,P,WD,P
WD,WD,WD,P,P,P,P,WD,P
WD,WD,WD,WD,WD,WD,WD,WD,WD
WD,WD,WD,WD,WD,WD,WD,WD,WD
WD,WD,WD,WD,WD,WD,WD,WD,WD
P,P,WD,U,P,P,P,P,U
P,P,P,P,P,P,P,P,P
P,P,WD,U,P,P,U,P,P
U,U,P,U,U,P,U,U,U
WD,WD,WD,P,P,WD,P,P,WD
P,P,WD,P,P,P,P,P,P
P,P,WD,P,P,P,P,P,P
WD,P,WD,WD,P,P,WD,WD,P
P,P,WD,U,P,P,U,P,P
