queens_condominium_property_neighborhood,category,count,avg_value,total_value,max_value
HOWARD BEACH,low income,1,759800.0,759800,759800
FLUSHING-NORTH,low income,5,1092465.6,5462328,1829232
ELMHURST,low income,1,177548.0,177548,177548
ELMHURST,medium income,1,2357640.0,2357640,2357640
ELMHURST,high income,1,4080186.0,4080186,4080186
WOODSIDE,low income,1,273577.0,273577,273577
BRIARWOOD,low income,1,285000.0,285000,285000
CORONA,low income,1,294000.0,294000,294000
COLLEGE POINT,low income,1,633885.0,633885,633885
LONG ISLAND CITY,low income,1,648450.0,648450,648450
REGO PARK,low income,1,928536.0,928536,928536
BRIARWOOD,medium income,1,3288946.0,3288946,3288946
