billingdate,detailentrydate,areaid,category,count,avg_value,total_value,max_value
,1998-09-08 15:58:38,39,Low effort,1,0.0,0.0,0.0
2000-10-17 09:45:10,2000-04-10 10:59:07,39,Low effort,1,0.0,0.0,0.0
,2001-07-23 10:15:21,39,Low effort,1,0.0,0.0,0.0
,2001-06-12 08:57:44,39,Low effort,1,0.0,0.0,0.0
,2004-10-07 11:24:01,39,Low effort,1,0.0,0.0,0.0
,2007-06-06 10:57:04,39,Low effort,1,0.0,0.0,0.0
,2004-02-03 10:28:53,39,Low effort,1,0.0,0.0,0.0
,2006-09-19 09:34:40,39,Low effort,1,0.0,0.0,0.0
,1998-04-09 12:45:39,39,Low effort,1,0.0,0.0,0.0
2015-07-10 09:43:15,2015-07-21 09:07:56,40,Low effort,1,0.0,0.0,0.0
,2008-12-26 22:44:46,39,Low effort,1,0.0,0.0,0.0
,2002-10-07 09:52:43,39,Low effort,1,0.0,0.0,0.0
,1998-08-31 09:21:07,39,Low effort,1,0.0,0.0,0.0
,2008-04-23 14:29:57,39,Low effort,1,0.0,0.0,0.0
,2000-10-17 14:22:56,39,Low effort,1,0.0,0.0,0.0
2009-06-15 13:49:27,2009-05-07 14:42:54,40,Low effort,1,0.0,0.0,0.0
2012-03-28 14:49:34,2012-04-16 11:23:02,39,Low effort,1,0.0,0.0,0.0
,2004-09-07 08:58:42,39,Low effort,1,0.0,0.0,0.0
,2001-05-14 14:56:51,40,Low effort,1,0.0,0.0,0.0
,2007-01-18 08:48:45,39,Low effort,1,0.0,0.0,0.0
,2000-03-28 10:45:19,39,Low effort,1,0.0,0.0,0.0
,2006-05-23 10:02:53,39,Low effort,1,0.0,0.0,0.0
,2005-12-05 11:52:15,39,Low effort,1,0.0,0.0,0.0
,2005-10-07 09:11:03,40,Low effort,1,0.0,0.0,0.0
,1998-05-26 09:34:32,39,Low effort,1,0.0,0.0,0.0
,2004-02-17 14:33:10,39,Low effort,1,0.0,0.0,0.0
,1998-06-01 11:24:54,40,Low effort,2,0.0,0.0,0.0
,2009-06-09 15:42:22,39,Low effort,1,0.0,0.0,0.0
,2001-07-17 08:14:05,39,Low effort,1,0.0,0.0,0.0
,2003-08-12 10:22:42,39,Low effort,1,0.0,0.0,0.0
,1998-04-14 11:03:03,39,Low effort,1,0.0,0.0,0.0
,2007-06-06 10:57:44,39,Low effort,1,0.0,0.0,0.0
,2000-12-20 14:41:27,39,Low effort,1,0.0,0.0,0.0
,2010-06-30 11:49:57,39,Low effort,1,0.0,0.0,0.0
,2007-05-07 09:16:34,40,Low effort,1,0.0,0.0,0.0
2008-09-15 16:33:34,2008-08-19 11:14:49,39,Low effort,1,0.0,0.0,0.0
2012-03-02 13:49:10,2012-03-12 10:05:10,39,Low effort,1,0.0,0.0,0.0
,1999-04-06 10:21:48,39,Low effort,1,0.0,0.0,0.0
2015-10-05 12:42:29,2015-11-23 12:42:55,39,Low effort,1,0.0,0.0,0.0
,2006-08-14 14:17:19,39,Low effort,2,0.0,0.0,0.0
2012-06-27 12:54:48,2012-08-09 10:29:07,39,Low effort,1,0.0,0.0,0.0
2015-11-23 08:46:23,2015-12-11 09:37:38,39,Low effort,1,0.0,0.0,0.0
2011-07-27 11:50:37,2011-08-30 12:48:19,39,Low effort,1,0.0,0.0,0.0
2015-12-16 11:13:58,2016-01-19 10:31:12,39,Low effort,1,0.0,0.0,0.0
2012-02-03 10:22:45,2012-03-27 09:15:08,40,Low effort,1,0.0,0.0,0.0
,2000-10-16 08:59:35,39,Low effort,1,0.0,0.0,0.0
,1999-12-27 08:34:33,39,Low effort,1,0.0,0.0,0.0
,2002-05-10 10:01:06,39,Low effort,1,0.0,0.0,0.0
,2002-06-11 08:22:45,39,Low effort,1,0.0,0.0,0.0
2015-01-02 11:14:35,2015-03-16 11:39:00,39,Low effort,1,0.0,0.0,0.0
,1998-03-09 15:53:11,39,Low effort,1,0.0,0.0,0.0
,2004-08-31 14:40:50,39,Low effort,1,0.0,0.0,0.0
