plate_id,issue_date,registration_state,issuer_squad,violation_legal_code,category,count,avg_value,total_value,max_value
KNZ2527,2022-06-21 00:00:00,99,0.0,,immediate,1,0.0,0,0
KVC6253,2022-07-07 00:00:00,NY,0.0,,immediate,2,0.0,0,0
GQH7507,2022-06-21 00:00:00,OH,0.0,,immediate,2,0.0,0,0
HNN6536,2022-06-22 00:00:00,NY,0.0,,immediate,2,0.0,0,0
GCN3785,2022-06-15 00:00:00,NY,0.0,,immediate,1,0.0,0,0
KSX5809,2022-06-16 00:00:00,99,0.0,,immediate,2,0.0,0,0
KOJOB,2022-06-26 00:00:00,NY,0.0,,immediate,2,0.0,0,0
HMY4993,2022-06-20 00:00:00,NY,0.0,,immediate,1,0.0,0,0
JEH4647,2022-06-08 00:00:00,NY,0.0,,immediate,4,0.0,0,0
KSB7027,2022-06-05 00:00:00,NY,0.0,,immediate,2,0.0,0,0
KSJ1604,2022-06-22 00:00:00,NY,0.0,,immediate,3,0.0,0,0
HIX6511,2000-05-22 00:00:00,NY,0.0,,immediate,1,0.0,0,0
KKL6583,2022-06-26 00:00:00,NY,0.0,,immediate,1,0.0,0,0
KEX2744,2022-06-30 00:00:00,NY,0.0,,immediate,1,0.0,0,0
KVC8483,2022-06-10 00:00:00,NY,0.0,,immediate,1,0.0,0,0
KNE2282,2022-07-05 00:00:00,NY,0.0,,immediate,2,0.0,0,0
KSB6460,2022-07-03 00:00:00,NY,0.0,,immediate,1,0.0,0,0
KFL2006,2022-07-01 00:00:00,NY,0.0,,long_observed,2,20220608.0,40441216,20220608
KVT2855,2022-06-27 00:00:00,NY,0.0,,immediate,1,0.0,0,0
KE19407,2022-07-04 00:00:00,99,0.0,,immediate,1,0.0,0,0
KJC9372,2022-06-26 00:00:00,NY,0.0,,immediate,1,0.0,0,0
JER1863,2022-06-10 00:00:00,NY,0.0,,immediate,2,0.0,0,0
KTX3183,2022-07-07 00:00:00,NY,0.0,,immediate,1,0.0,0,0
JHJ2036,2022-06-17 00:00:00,NY,0.0,,immediate,1,0.0,0,0
KRN2447,2022-06-21 00:00:00,NY,0.0,,immediate,1,0.0,0,0
HJP6180,2022-06-01 00:00:00,NY,0.0,,immediate,1,0.0,0,0
KNU8782,2022-06-21 00:00:00,NY,0.0,,immediate,2,0.0,0,0
JPH6683,2022-06-24 00:00:00,NY,0.0,,immediate,2,0.0,0,0
KGM9439,2022-06-16 00:00:00,NY,0.0,,immediate,1,0.0,0,0
KLA6711,2022-06-24 00:00:00,NY,0.0,,immediate,1,0.0,0,0
KVG5372,2022-06-27 00:00:00,NY,0.0,,immediate,1,0.0,0,0
KSD3888,2022-06-16 00:00:00,NY,0.0,,immediate,1,0.0,0,0
JMD4273,2022-07-01 00:00:00,NY,0.0,,immediate,1,0.0,0,0
KEP9921,2022-06-30 00:00:00,NY,0.0,,immediate,2,0.0,0,0
KFR4322,2022-06-05 00:00:00,NY,0.0,,immediate,1,0.0,0,0
JPN2824,2022-06-05 00:00:00,NY,0.0,,immediate,1,0.0,0,0
KUJ9677,2022-07-06 00:00:00,NY,0.0,,immediate,1,0.0,0,0
JEH4647,2022-06-08 00:00:00,NY,0.0,,long_observed,1,20220608.0,20220608,20220608
KNB7335,2022-06-15 00:00:00,NY,0.0,,immediate,1,0.0,0,0
G9868J,2022-07-02 00:00:00,FL,0.0,,immediate,2,0.0,0,0
HUW3790,2022-07-02 00:00:00,NY,0.0,,immediate,1,0.0,0,0
KNV1564,2022-06-26 00:00:00,NY,0.0,,immediate,1,0.0,0,0
KFL2006,2022-07-01 00:00:00,NY,0.0,,immediate,8,0.0,0,0
KKC3044,2022-06-23 00:00:00,NY,0.0,,immediate,1,0.0,0,0
JSC9890,2022-06-28 00:00:00,NY,0.0,,immediate,1,0.0,0,0
M51PUV,2022-06-19 00:00:00,NJ,0.0,,immediate,2,0.0,0,0
KWG8669,2022-06-30 00:00:00,NY,0.0,,immediate,1,0.0,0,0
KTJ4917,2022-06-24 00:00:00,NY,0.0,,immediate,1,0.0,0,0
HCR4935,2022-06-15 00:00:00,NY,0.0,,immediate,1,0.0,0,0
JKW7174,2022-06-14 00:00:00,NY,0.0,,immediate,1,0.0,0,0
KVT3908,2022-06-24 00:00:00,99,0.0,,immediate,1,0.0,0,0
