address_1,total_site_budget
32 Penn Street,
225 ADELPHI STREET,
43-15 Beach Channel Drive,
423 Gates Ave,
109-29 Sutphin Boulevard,
2120 Ryer Ave,
779 Garden St,
2255 Webster Ave,
70 OCEAN PARKWAY,
200-214 W 135th St,
17 Ft. George Hill,
50 BROADWAY,
370 Fountain Ave,
1620 BRUCKNER BOULEVARD,
2 Allen Street,
100 Centre St.,
36-46 37th Street,
120 Schermerhorn Street,
400 EAST FORDHAM ROAD,
40 RECTOR STREET,1585113.06
388 WILLIS AVENUE,
321 Palmetto Street,
133-04 39 Avenue,
1150 Carroll Street,
199 WATER STREET,
150 Court Street,
301 Henry Street,
441 Manhattan Ave,
715 Ocean Terrace,
198 E 161 St,
60 EAST TREMONT AVENUE,
2021 BERGEN STREET,
127 WEST 127 STREET,
8310 Rockaway Blvd,
290 St Marks Place,
825 EAST 233 STREET,129400.0
150 Richmond Terrace,
1600 avenue L,
299 Broadway,
1510 WATERS PLACE,
692 BLAKE AVENUE,
