incident_address,total_y_coordinate_state_plane,latitude,longitude
1265 WARD AVENUE,241955,40.831133,-73.87801
1522 GREENE AVENUE,195430,40.703003,-73.914455
1249 SUTTER AVENUE,184414,40.673013,-73.871713
33-08 169 STREET,218801,40.767047,-73.796759
275 GLENMORE AVENUE,4423464,40.672731,-73.90056
329 LINDEN STREET,193921,40.699086,-73.914099
168-01 UNION TURNPIKE,535246800,40.723345,-73.799873
14-18 117 STREET,225382,40.785297,-73.85065
576 5 AVENUE,214894,40.756657,-73.978975
623 WEST 170 STREET,246312,40.84313,-73.940272
140-17 84 DRIVE,395746,40.710028,-73.816631
493 DEAN STREET,187523,40.681815,-73.973806
2860 KINGSBRIDGE TERRACE,773421,40.874268,-73.90236
200 BROOME STREET,200591,40.71759,-73.987291
1503 85 STREET,162170,40.612056,-74.008504
499 BERGEN STREET,187213,40.680824,-73.973753
2871E EAST 194 STREET,249903,40.852479,-73.832172
83-72 VIETOR AVENUE,419772,40.744092,-73.880338
37-69 WARREN STREET,212870,40.749527,-73.870378
60-14 55 DRIVE,203732,40.725646,-73.905579
611 GREENWOOD AVENUE,176644,40.65181,-73.975425
71-01 PARSONS BOULEVARD,129356640,40.729931,-73.810428
35-63 95 STREET,213549,40.751412,-73.871966
117-06 NASHVILLE BOULEVARD,192977,40.696135,-73.745031
142-15 110 AVENUE,189285,40.686371,-73.801942
101-01 35 AVENUE,214152,40.754603,-73.866813
510 FLATBUSH AVENUE,180403,40.661566,-73.96183
99 CHESTNUT STREET,189056,40.685621,-73.875687
EAST 170 STREET,243768,40.835724,-73.905784
34-25 109 STREET,429556,40.755645,-73.85905
149 GELSTON AVENUE,328688,40.617562,-74.028117
514 79 STREET,669740,40.626176,-74.023535
1 BOWLING GREEN,783480,40.704036,-74.013749
500 WEST 30 STREET,426592,40.751985,-74.001704
1569 WEST TENTH STREET,161004,40.608589,-73.983361
2548 EAST 27 STREET,154351,40.590106,-73.943155
23-15 39 AVENUE,429038,40.755517,-73.937722
40-49 74 STREET,210860,40.745384,-73.890874
898 LEXINGTON AVENUE,218770,40.767241,-73.96552
5-47 50 AVENUE,403232640,40.743072,-73.954735
100 MESEROLE AVENUE,81657200,40.726699,-73.95318
22 WEST 48 STREET,215325,40.757637,-73.979545
807 44 STREET,348056,40.644453,-73.999831
