city,service_taxonomy,record_count,total_amount,avg_amount,max_amount,min_amount
staten island,"[""recreational services"",""arts and culture"",""mentoring""]",8,,,,
bronx,"[""athletic leagues""]",30,,,,
bronx,,10,129400.0,129400.0,129400.0,129400.0
bronx,"[""recreational services"",""arts and culture"",""mentoring""]",8,,,,
bronx,"[""emergency preparedness and response"",""client evaluation/assessment"",""intake"",""preventive services""]",6,,,,
staten island,"[""athletic leagues""]",30,,,,
brooklyn,,9,,,,
new york,,27,1585113.06,792556.53,792556.53,792556.53
new york,"[""athletic leagues""]",15,,,,
brooklyn,"[""athletic leagues""]",15,,,,
