brooklyn_cooperatives_comparable_properties_neighborhood,category,count,avg_value,total_value,max_value
OCEAN PARKWAY-NORTH,medium value,2,3760000.0,7520000,3950000
GREENPOINT,low value,1,718000.0,718000,718000
BAY RIDGE,high value,1,7740000.0,7740000,7740000
SHEEPSHEAD BAY,medium value,1,2720000.0,2720000,2720000
PARK SLOPE,medium value,19,2493684.210526316,47380000,4720000
WINDSOR TERRACE,medium value,19,2406315.789473684,45720000,3060000
CROWN HEIGHTS,low value,1,420000.0,420000,420000
SHEEPSHEAD BAY,high value,1,6650000.0,6650000,6650000
BAY RIDGE,medium value,1,3940000.0,3940000,3940000
OCEAN HILL,low value,1,400000.0,400000,400000
PROSPECT HEIGHTS,low value,2,1026000.0,2052000,1290000
FLATBUSH-CENTRAL,low value,2,1001000.0,2002000,1720000
BROOKLYN HEIGHTS,medium value,4,2987500.0,11950000,3920000
BOROUGH PARK,low value,2,658000.0,1316000,833000
BENSONHURST,low value,1,2000000.0,2000000,2000000
CLINTON HILL,high value,1,6410000.0,6410000,6410000
PROSPECT HEIGHTS,medium value,1,2130000.0,2130000,2130000
MIDWOOD,low value,1,861000.0,861000,861000
OCEAN PARKWAY-SOUTH,medium value,1,3610000.0,3610000,3610000
OCEAN PARKWAY-SOUTH,high value,1,5530000.0,5530000,5530000
BROOKLYN HEIGHTS,high value,3,14440000.0,43320000,28700000
KENSINGTON,low value,1,886000.0,886000,886000
WILLIAMSBURG-NORTH,low value,1,1590000.0,1590000,1590000
FLATBUSH-CENTRAL,medium value,1,2330000.0,2330000,2330000
BRIGHTON BEACH,low value,1,1740000.0,1740000,1740000
BATH BEACH,medium value,1,3560000.0,3560000,3560000
PARK SLOPE,low value,55,1077854.5454545454,59282000,1290000
WINDSOR TERRACE,low value,54,1085000.0,58590000,1290000
OCEAN PARKWAY-NORTH,high value,1,5030000.0,5030000,5030000
