permitservicecompany,total_dimension1,average_dimension2,avg_overallheight,avg_loadheight,permit_count
JAMIE J HILL  DBA GATOR PERMITS,32000.0,8.06,9.03,1.06,1
"Planned Parenthood of New York City, Inc.",27500.0,8.05,13.0,13.0,1
Shieed P Jones 817 Films,67000.0,8.06,13.06,8.0,1
Ambika DOT Service   -  DD,60000.0,8.0,13.06,13.06,1
John M Hicks 817 DD,56834.0,8.06,13.06,7.0,1
John McMorrow 817,75000.0,8.06,13.06,13.06,1
High Wide & Heavy Oversize Escorts LLC,243400.0,8.406666666666666,13.026666666666666,7.003333333333333,3
Ryan Cooke 817 DD,44197.0,8.06,13.06,13.06,1
Muthers Pilot Car Services,154000.0,9.396666666666667,12.706666666666669,5.353333333333334,3
NYC Dept of Sanitation,49100.0,8.06,10.02,2.01,1
"New York Truck Escorts & Permits, Inc.",765104.0,9.474285714285715,12.764285714285716,8.308571428571428,7
"Elite Motor Carrier Escort, LLC.",36500.0,8.06,13.06,5.0,1
edwindiaz817,34900.0,8.0,13.06,13.06,1
Anslem King 817         DD,46500.0,8.0,13.06,13.06,1
Ruth Novoa - Film,55000.0,8.07,13.06,13.06,1
Edward Terriaca 817,47000.0,8.06,12.06,12.06,1
Custom Permit Service Company,41950.0,10.07,13.06,10.0,1
BARKINGDOG ESCORTS AND PERMITS,57000.0,8.06,13.06,5.0,1
West Chester Permit LLc,79000.0,9.06,13.05,13.0,1
THE PERMIT COMPANY,159000.0,8.585,12.06,5.5,2
Blue Bloods,106160.0,8.07,13.06,13.06,2
Con Edison Of New York,55000.0,8.0,8.06,1.06,1
NJ Routing and Logistics,104300.0,9.06,13.06,6.53,2
"Comdata Network, Inc.",98566.0,9.08,13.06,10.05,1
HARRIS CAMDEN  TERMINAL EQUIPMENT CO,982920.0,10.236363636363636,12.754545454545456,5.4781818181818185,11
Patrick McGuinness 817,24350.0,8.06,13.0,13.0,1
All Mobile Video,65100.0,8.05,13.04,13.04,1
