brooklyn_condominiums_comparable_properties_condo_section,comparable_rental_1_neighborhood,brooklyn_condominiums_comparable_properties_neighborhood,total_estimated_gross_income
1325-R1,BENSONHURST,GRAVESEND,274544.0
1979-R1,DOWNTOWN-FULTON MALL,WILLIAMSBURG-NORTH,4698562.0
2268-R1,WILLIAMSBURG-SOUTH,BEDFORD STUYVESANT,378106.0
2058-R1,PARK SLOPE,PARK SLOPE,1161458.0
0444-R1,WILLIAMSBURG-SOUTH,WILLIAMSBURG-SOUTH,390123.0
0151-R1,CROWN HEIGHTS,CROWN HEIGHTS,498346.0
1161-R1,PROSPECT HEIGHTS,PROSPECT HEIGHTS,679297.0
2073-R1,MADISON,MADISON,298900.0
1818-R1,FLATBUSH-CENTRAL,MILL BASIN,432541.0
1883-R1,BENSONHURST,BENSONHURST,82920.0
1443-R1,SHEEPSHEAD BAY,SHEEPSHEAD BAY,118350.0
1354-R1,WILLIAMSBURG-CENTRAL,WILLIAMSBURG-CENTRAL,456206.0
0885-R1,WILLIAMSBURG-EAST,WILLIAMSBURG-CENTRAL,537508.0
0287-R1,BEDFORD STUYVESANT,CROWN HEIGHTS,341214.0
0022-R1,CROWN HEIGHTS,BOROUGH PARK,1044414.0
0305-R1,PARK SLOPE SOUTH,PARK SLOPE SOUTH,200078.0
1678-R1,CLINTON HILL,CLINTON HILL,338640.0
1231-R1,WILLIAMSBURG-SOUTH,BEDFORD STUYVESANT,164938.0
0949-R1,WILLIAMSBURG-SOUTH,WILLIAMSBURG-CENTRAL,289800.0
2344-R1,CLINTON HILL,CLINTON HILL,247055.0
1651-R1,FORT GREENE,PARK SLOPE,1507795.0
1581-R1,SHEEPSHEAD BAY,BRIGHTON BEACH,327655.0
1082-R1,FLATBUSH-CENTRAL,BRIGHTON BEACH,2275693.0
1823-R1,WILLIAMSBURG-SOUTH,WILLIAMSBURG-SOUTH,234803.0
1144-R1,GREENPOINT,GREENPOINT,422400.0
2189-R1,MIDWOOD,MIDWOOD,204674.0
1561-R1,WILLIAMSBURG-SOUTH,WILLIAMSBURG-SOUTH,221365.0
1287-R1,WILLIAMSBURG-SOUTH,WILLIAMSBURG-CENTRAL,673226.0
0100-R1,COBBLE HILL,BROOKLYN HEIGHTS,75319.0
1661-R1,WILLIAMSBURG-SOUTH,WILLIAMSBURG-EAST,1135048.0
0441-R1,BROOKLYN HEIGHTS,COBBLE HILL-WEST,1632960.0
1624-R1,CROWN HEIGHTS,BRIGHTON BEACH,233344.0
2255-R1,FORT GREENE,COBBLE HILL-WEST,991236.0
0182-R1,BOROUGH PARK,BOROUGH PARK,495216.0
1232-R1,MIDWOOD,MIDWOOD,351679.0
