school_name,category,count,avg_value,total_value,max_value
Wings Academy,Low attendance,1,0.79,0.79,0.79
The Bronxwood Preparatory Academy,High attendance,1,0.91,0.91,0.91
Francis Lewis High School,High attendance,1,0.93,0.93,0.93
Curtis High School,Medium attendance,1,0.85,0.85,0.85
Hillside Arts & Letters Academy,Medium attendance,1,0.87,0.87,0.87
Transit Tech Career and Technical Education High School,Medium attendance,1,0.87,0.87,0.87
The Cinema School,Medium attendance,1,0.88,0.88,0.88
Metropolitan Diploma Plus High School,Low attendance,1,0.63,0.63,0.63
Bronx Aerospace High School,Medium attendance,1,0.81,0.81,0.81
Epic High School - North,Medium attendance,1,0.83,0.83,0.83
Theatre Arts Production Company School,Medium attendance,1,0.81,0.81,0.81
High School of Sports Management,Low attendance,1,0.76,0.76,0.76
High School of Arts and Technology,Low attendance,1,0.78,0.78,0.78
Belmont Preparatory High School,Medium attendance,1,0.86,0.86,0.86
Martin Van Buren High School,Medium attendance,1,0.88,0.88,0.88
Comprehensive Model School Project M.S. 327,Medium attendance,1,0.88,0.88,0.88
Crotona International High School,Medium attendance,1,0.85,0.85,0.85
The Clinton School,High attendance,1,0.96,0.96,0.96
Khalil Gibran International Academy,Medium attendance,1,0.85,0.85,0.85
Bronx Studio School for Writers and Artists,Medium attendance,1,0.85,0.85,0.85
The Urban Assembly School for Emergency Management,Medium attendance,1,0.81,0.81,0.81
