bin__,total_construction_area
3137833,3604.0
3086808,0.0
2061106,0.0
1065071,0.0
5042017,2230.0
4436445,0.0
3334738,0.0
3154223,0.0
1062994,0.0
3387682,4930.0
4123651,0.0
4244631,0.0
3322807,6515.0
1042753,0.0
3390750,4738.0
4080447,0.0
3348771,0.0
2826970,0.0
1003093,0.0
3390657,0.0
4003516,0.0
3331259,0.0
1082153,0.0
3002749,0.0
5154700,0.0
3429034,0.0
3208218,0.0
3071890,0.0
3214565,2082.0
1016957,0.0
3065098,0.0
3007371,0.0
2009750,0.0
3243423,0.0
4615694,0.0
1007297,0.0
3021769,0.0
1048094,0.0
3047669,0.0
3066975,0.0
3000464,0.0
1040809,0.0
5174426,0.0
3057923,0.0
3001503,0.0
3116107,0.0
3240573,0.0
5003250,0.0
3017206,0.0
3343256,0.0
