incident_address,incident_zip,intersection_street_2,location_type,category,count,avg_value,total_value,max_value
40-49 74 STREET,11373,41 AVENUE,Street/Sidewalk,Medium Northing,1,210860.0,210860.0,210860
83-72 VIETOR AVENUE,11373,JUDGE STREET,Street/Sidewalk,Medium Northing,2,209886.0,419772.0,209886
2548 EAST 27 STREET,11235,AVENUE Z,Street/Sidewalk,Low Northing,1,154351.0,154351.0,154351
14-18 117 STREET,11356,14 ROAD,Street/Sidewalk,High Northing,1,225382.0,225382.0,225382
1249 SUTTER AVENUE,11208,EUCLID AVENUE,Street/Sidewalk,Low Northing,1,184414.0,184414.0,184414
1 BOWLING GREEN,10004,BEAVER STREET,Street/Sidewalk,Low Northing,4,195870.0,783480.0,195870
623 WEST 170 STREET,10032,FORT WASHINGTON AVENUE,Street/Sidewalk,High Northing,1,246312.0,246312.0,246312
EAST 170 STREET,10456,PARK AVENUE,Street/Sidewalk,High Northing,1,243768.0,243768.0,243768
142-15 110 AVENUE,11435,143 STREET,Street/Sidewalk,Low Northing,1,189285.0,189285.0,189285
200 BROOME STREET,10002,NORFOLK STREET,Street/Sidewalk,Medium Northing,1,200591.0,200591.0,200591
60-14 55 DRIVE,11378,BORDEN AVENUE,Street/Sidewalk,Medium Northing,1,203732.0,203732.0,203732
275 GLENMORE AVENUE,11207,WILLIAMS AVENUE,Street/Sidewalk,Low Northing,24,184311.0,4423464.0,184311
117-06 NASHVILLE BOULEVARD,11411,118 AVENUE,Street/Sidewalk,Low Northing,1,192977.0,192977.0,192977
37-69 WARREN STREET,11372,ROOSEVELT AVENUE,Street/Sidewalk,Medium Northing,1,212870.0,212870.0,212870
140-17 84 DRIVE,11435,85 ROAD,Street/Sidewalk,Low Northing,2,197873.0,395746.0,197873
2860 KINGSBRIDGE TERRACE,10463,WEST230 STREET,Street/Sidewalk,High Northing,3,257807.0,773421.0,257807
514 79 STREET,11209,6 AVENUE,Street/Sidewalk,Low Northing,4,167435.0,669740.0,167435
1265 WARD AVENUE,10472,EAST172 STREET,Street/Sidewalk,High Northing,1,241955.0,241955.0,241955
22 WEST 48 STREET,10036,ROCKEFELLER PLAZA,Street/Sidewalk,Medium Northing,1,215325.0,215325.0,215325
101-01 35 AVENUE,11368,102 STREET,Street/Sidewalk,Medium Northing,1,214152.0,214152.0,214152
23-15 39 AVENUE,11101,24 STREET,Street/Sidewalk,Medium Northing,2,214519.0,429038.0,214519
611 GREENWOOD AVENUE,11218,EAST 7 STREET,Street/Sidewalk,Low Northing,1,176644.0,176644.0,176644
493 DEAN STREET,11217,CARLTON AVENUE,Street/Sidewalk,Low Northing,1,187523.0,187523.0,187523
71-01 PARSONS BOULEVARD,11365,72 AVENUE,Street/Sidewalk,Medium Northing,630,205328.0,129356640.0,205328
1522 GREENE AVENUE,11237,ST NICHOLAS AVENUE,Street/Sidewalk,Low Northing,1,195430.0,195430.0,195430
500 WEST 30 STREET,10001,HIGH LINE,Street/Sidewalk,Medium Northing,2,213296.0,426592.0,213296
2871E EAST 194 STREET,10461,HOBART AVENUE,Street/Sidewalk,High Northing,1,249903.0,249903.0,249903
1503 85 STREET,11228,16 AVENUE,Street/Sidewalk,Low Northing,1,162170.0,162170.0,162170
898 LEXINGTON AVENUE,10065,EAST 67 STREET,Street/Sidewalk,Medium Northing,1,218770.0,218770.0,218770
35-63 95 STREET,11372,37 AVENUE,Street/Sidewalk,Medium Northing,1,213549.0,213549.0,213549
34-25 109 STREET,11368,35 AVENUE,Street/Sidewalk,Medium Northing,2,214778.0,429556.0,214778
1569 WEST TENTH STREET,11204,AVENUE P,Street/Sidewalk,Low Northing,1,161004.0,161004.0,161004
499 BERGEN STREET,11217,CARLTON AVENUE,Street/Sidewalk,Low Northing,1,187213.0,187213.0,187213
149 GELSTON AVENUE,11209,92 STREET,Street/Sidewalk,Low Northing,2,164344.0,328688.0,164344
576 5 AVENUE,10036,EAST 47 STREET,Street/Sidewalk,Medium Northing,1,214894.0,214894.0,214894
168-01 UNION TURNPIKE,11366,169 STREET,Street/Sidewalk,Medium Northing,2640,202745.0,535246800.0,202745
100 MESEROLE AVENUE,11222,MANHATTAN AVENUE,Street/Sidewalk,Medium Northing,400,204143.0,81657200.0,204143
807 44 STREET,11220,9 AVENUE,Street/Sidewalk,Low Northing,2,174028.0,348056.0,174028
329 LINDEN STREET,11237,MYRTLE AVENUE,Street/Sidewalk,Low Northing,1,193921.0,193921.0,193921
5-47 50 AVENUE,11101,VERNON BOULEVARD,Street/Sidewalk,Medium Northing,1920,210017.0,403232640.0,210017
510 FLATBUSH AVENUE,11225,LEFFERTS AVENUE,Street/Sidewalk,Low Northing,1,180403.0,180403.0,180403
33-08 169 STREET,11358,35 AVENUE,Street/Sidewalk,Medium Northing,1,218801.0,218801.0,218801
99 CHESTNUT STREET,11208,RIDGEWOOD AVENUE,Street/Sidewalk,Low Northing,1,189056.0,189056.0,189056
