reduced_bike_8,reduced_bike_7,num_complete_thu,reduced_bike_3,increased_bike_6,ev_purchase,increased_bike_4,reduced_veh_1,increased_bike_9,increased_bike_3,ev_typical_charge_1,num_people,reduced_veh_7,increased_veh_1,reduced_bike_6,bicycle_type_1,hh_cms_zone_gp,num_complete_sat,ev_typical_charge_3,increased_veh_7,num_complete_wed,bike_store_1,num_complete_fri,reduced_bike_2
995,995,1,995,995,995,995,995,995,995,995,5,995,995,995,995,2,1,995,995,1,995,1,995
0,0,1,0,995,995,995,995,995,995,995,2,995,995,0,1,3,1,995,995,1,0,0,0
995,995,1,995,995,3,995,995,995,995,995,2,995,995,995,995,4,1,995,995,1,995,1,995
995,995,1,995,1,995,1,995,1,0,995,1,995,995,995,1,3,1,995,995,1,1,1,995
995,995,1,995,995,995,995,995,995,995,995,1,995,995,995,995,1,0,995,995,0,995,0,995
995,995,1,995,0,1,0,995,0,0,995,2,995,995,995,1,3,1,995,995,1,0,1,995
995,995,1,995,995,2,995,995,995,995,995,2,995,995,995,995,1,0,995,995,0,995,0,995
995,995,0,995,995,995,995,995,995,995,995,1,995,995,995,995,1,1,995,995,1,995,1,995
995,995,0,995,995,995,995,995,995,995,995,3,995,995,995,995,3,0,995,995,1,995,0,995
995,995,1,995,995,995,995,995,995,995,995,2,995,995,995,1,3,1,995,995,1,1,1,995
995,995,1,995,995,995,995,995,995,995,995,1,995,995,995,995,3,1,995,995,1,995,1,995
995,995,1,995,995,3,995,995,995,995,995,3,995,995,995,995,2,1,995,995,0,995,1,995
995,995,1,995,995,3,995,995,995,995,995,5,995,995,995,995,4,0,995,995,0,995,0,995
995,995,1,995,995,995,995,995,995,995,995,2,995,995,995,1,3,1,995,995,1,1,1,995
995,995,1,995,995,995,995,995,995,995,995,4,995,995,995,1,2,1,995,995,1,1,1,995
995,995,1,995,995,1,995,995,995,995,995,2,995,0,995,1,3,1,995,0,1,1,1,995
995,995,1,995,995,3,995,995,995,995,995,2,995,995,995,995,2,1,995,995,1,995,1,995
995,995,0,995,995,995,995,995,995,995,995,1,995,995,995,995,1,0,995,995,0,995,0,995
995,995,1,995,995,1,995,995,995,995,995,4,995,995,995,1,1,1,995,995,1,0,1,995
995,995,1,995,995,3,995,995,995,995,995,2,995,995,995,995,1,0,995,995,1,995,1,995
995,995,1,995,995,3,995,995,995,995,995,5,995,995,995,1,2,1,995,995,1,1,1,995
995,995,0,995,995,995,995,995,995,995,995,2,995,995,995,995,1,1,995,995,1,995,1,995
995,995,1,995,995,995,995,995,995,995,995,2,995,995,995,995,1,1,995,995,1,995,1,995
995,995,0,995,995,995,995,995,995,995,995,1,995,995,995,995,2,0,995,995,0,995,0,995
0,0,0,1,995,2,995,995,995,995,995,2,995,1,0,995,2,0,995,0,0,995,0,0
995,995,1,995,995,995,995,995,995,995,995,2,995,995,995,995,3,1,995,995,1,995,1,995
995,995,1,995,995,995,995,995,995,995,995,1,995,995,995,995,2,1,995,995,0,995,1,995
995,995,0,995,0,2,0,995,0,0,995,6,995,995,995,1,2,1,995,995,1,1,1,995
995,995,1,995,995,1,995,995,995,995,995,2,995,995,995,1,3,1,995,995,1,1,1,995
0,0,1,0,995,995,995,995,995,995,995,4,995,995,0,995,3,1,995,995,1,995,1,0
995,995,1,995,995,1,995,995,995,995,995,3,995,995,995,995,1,1,995,995,1,995,1,995
995,995,1,995,995,2,995,995,995,995,995,2,995,995,995,995,3,1,995,995,1,995,1,995
995,995,0,995,995,2,995,995,995,995,995,1,995,995,995,1,4,0,995,995,1,1,0,995
995,995,1,995,0,1,0,995,0,0,995,3,995,995,995,1,3,1,995,995,1,1,1,995
995,995,1,995,995,995,995,995,995,995,995,2,995,995,995,1,3,1,995,995,1,0,1,995
995,995,1,995,995,995,995,995,995,995,995,1,995,995,995,995,3,0,995,995,1,995,1,995
995,995,1,995,995,3,995,995,995,995,995,3,995,0,995,995,4,0,995,0,1,995,1,995
995,995,1,995,995,1,995,995,995,995,995,3,995,995,995,995,2,1,995,995,1,995,1,995
995,995,1,995,995,1,995,995,995,995,995,2,995,995,995,995,3,1,995,995,1,995,1,995
995,995,1,995,995,995,995,995,995,995,995,1,995,995,995,995,1,0,995,995,1,995,1,995
995,995,0,995,995,995,995,995,995,995,995,3,995,995,995,995,1,0,995,995,0,995,0,995
995,995,1,995,995,3,995,995,995,995,995,2,995,995,995,995,2,1,995,995,1,995,1,995
995,995,1,995,995,995,995,995,995,995,995,3,995,995,995,995,1,1,995,995,1,995,1,995
995,995,0,995,0,1,1,995,0,0,995,4,995,995,995,1,3,0,995,995,0,0,0,995
995,995,1,995,0,995,0,995,0,0,995,2,995,995,995,1,3,1,995,995,1,0,1,995
995,995,1,995,995,995,995,995,995,995,995,5,995,995,995,995,2,1,995,995,1,995,0,995
995,995,0,995,995,3,995,995,995,995,995,4,995,995,995,995,2,0,995,995,0,995,0,995
995,995,1,995,995,995,995,995,995,995,995,2,995,995,995,995,1,1,995,995,1,995,1,995
995,995,0,995,995,995,995,995,995,995,995,1,995,995,995,995,1,0,995,995,1,995,0,995
995,995,1,995,995,3,995,995,995,995,995,5,995,0,995,995,1,1,995,1,0,995,1,995
995,995,1,995,0,995,0,995,0,0,995,5,995,995,995,1,3,1,995,995,1,1,1,995
995,995,0,995,995,995,995,995,995,995,995,2,995,995,995,1,2,0,995,995,0,1,0,995
995,995,1,995,0,995,0,995,0,0,995,5,995,995,995,1,4,1,995,995,1,0,1,995
995,995,1,995,995,995,995,995,995,995,995,1,995,995,995,995,2,0,995,995,0,995,0,995
995,995,1,995,995,995,995,995,995,995,995,1,995,995,995,1,3,1,995,995,1,1,1,995
995,995,0,995,995,995,995,995,995,995,995,4,995,995,995,995,2,0,995,995,0,995,0,995
995,995,1,995,995,2,995,995,995,995,995,5,995,995,995,995,2,0,995,995,1,995,0,995
995,995,1,995,0,1,0,995,0,0,995,2,995,995,995,1,3,0,995,995,0,1,0,995
995,995,1,995,995,995,995,995,995,995,995,3,995,995,995,995,3,0,995,995,0,995,0,995
995,995,1,995,995,995,995,995,995,995,995,1,995,995,995,1,2,1,995,995,1,1,1,995
995,995,1,995,995,2,995,0,995,995,995,3,0,995,995,1,4,1,995,995,1,0,1,995
0,0,0,1,995,995,995,995,995,995,995,3,995,995,0,1,2,0,995,995,0,0,0,0
995,995,1,995,0,995,0,995,0,0,995,4,995,995,995,1,3,1,995,995,1,1,1,995
995,995,1,995,995,995,995,995,995,995,995,1,995,995,995,995,1,0,995,995,1,995,1,995
995,995,1,995,995,1,995,995,995,995,995,2,995,995,995,1,2,1,995,995,1,0,1,995
995,995,1,995,995,995,995,995,995,995,995,3,995,995,995,1,3,1,995,995,1,1,1,995
995,995,1,995,995,2,995,995,995,995,995,1,995,995,995,995,3,0,995,995,1,995,1,995
995,995,1,995,995,995,995,995,995,995,995,1,995,995,995,995,1,1,995,995,1,995,1,995
995,995,1,995,995,995,995,995,995,995,995,1,995,995,995,1,3,1,995,995,1,1,1,995
995,995,0,995,995,995,995,995,995,995,995,5,995,995,995,995,1,0,995,995,1,995,0,995
995,995,1,995,995,1,995,995,995,995,995,2,995,995,995,995,3,1,995,995,1,995,1,995
995,995,0,995,995,3,995,995,995,995,995,1,995,995,995,995,3,0,995,995,0,995,0,995
995,995,1,995,995,2,995,995,995,995,995,1,995,0,995,995,3,1,995,0,1,995,1,995
995,995,1,995,995,995,995,995,995,995,995,1,995,995,995,1,3,1,995,995,1,0,1,995
0,0,1,1,995,3,995,0,995,995,995,1,0,995,0,1,4,1,995,995,1,1,1,0
995,995,1,995,995,995,995,995,995,995,995,1,995,995,995,995,2,0,995,995,0,995,0,995
995,995,1,995,995,995,995,995,995,995,995,2,995,995,995,995,3,1,995,995,1,995,1,995
995,995,1,995,995,995,995,995,995,995,995,1,995,995,995,995,3,1,995,995,1,995,1,995
995,995,1,995,995,3,995,995,995,995,995,3,995,995,995,1,2,0,995,995,1,1,0,995
995,995,1,995,995,995,995,995,995,995,995,2,995,995,995,995,3,1,995,995,1,995,1,995
995,995,0,995,995,995,995,995,995,995,995,3,995,995,995,1,1,1,995,995,0,1,0,995
995,995,0,995,995,995,995,995,995,995,995,1,995,995,995,995,1,1,995,995,1,995,1,995
995,995,0,995,995,995,995,995,995,995,995,2,995,995,995,995,3,0,995,995,0,995,0,995
995,995,1,995,995,3,995,995,995,995,995,2,995,995,995,995,4,1,995,995,1,995,0,995
995,995,1,995,995,995,995,995,995,995,995,2,995,995,995,995,3,1,995,995,1,995,1,995
0,0,0,1,995,995,995,995,995,995,995,2,995,995,0,995,2,1,995,995,1,995,1,0
995,995,0,995,995,995,995,995,995,995,995,2,995,995,995,1,3,1,995,995,1,1,1,995
995,995,0,995,995,995,995,995,995,995,995,2,995,995,995,995,3,1,995,995,1,995,1,995
995,995,0,995,995,995,995,995,995,995,995,2,995,995,995,995,3,0,995,995,0,995,0,995
995,995,1,995,995,995,995,995,995,995,995,2,995,995,995,995,2,0,995,995,1,995,0,995
995,995,0,995,995,995,995,995,995,995,995,1,995,995,995,995,1,0,995,995,0,995,0,995
1,1,1,1,995,995,995,995,995,995,995,2,995,995,0,995,1,0,995,995,0,995,0,0
995,995,1,995,995,3,995,995,995,995,995,1,995,995,995,995,2,1,995,995,1,995,1,995
995,995,0,995,995,995,995,995,995,995,995,1,995,995,995,995,3,0,995,995,0,995,0,995
995,995,1,995,995,995,995,995,995,995,995,6,995,995,995,995,4,1,995,995,1,995,1,995
995,995,1,995,995,995,995,995,995,995,995,1,995,995,995,995,1,1,995,995,1,995,1,995
995,995,0,995,995,995,995,995,995,995,995,2,995,995,995,995,3,0,995,995,1,995,0,995
995,995,1,995,995,995,995,995,995,995,995,2,995,995,995,995,1,1,995,995,0,995,1,995
995,995,1,995,0,1,0,995,1,1,995,1,995,0,995,1,3,1,995,0,1,0,1,995
995,995,1,995,995,995,995,995,995,995,995,1,995,995,995,995,1,0,995,995,1,995,1,995
995,995,1,995,995,995,995,995,995,995,995,3,995,995,995,995,4,0,995,995,0,995,1,995
995,995,0,995,995,1,995,995,995,995,995,1,995,995,995,1,2,1,995,995,1,1,1,995
995,995,0,995,995,995,995,995,995,995,995,2,995,995,995,995,2,0,995,995,1,995,0,995
995,995,1,995,995,995,995,995,995,995,995,4,995,995,995,995,3,1,995,995,1,995,1,995
995,995,1,995,995,995,995,995,995,995,995,4,995,995,995,1,3,0,995,995,0,1,0,995
995,995,1,995,995,3,995,995,995,995,995,1,995,995,995,995,2,1,995,995,1,995,1,995
995,995,0,995,995,3,995,995,995,995,995,5,995,995,995,995,3,0,995,995,1,995,0,995
0,0,0,1,995,995,995,995,995,995,995,4,995,995,0,995,3,0,995,995,0,995,0,0
995,995,0,995,995,995,995,995,995,995,995,1,995,995,995,995,1,0,995,995,0,995,0,995
995,995,1,995,995,995,995,995,995,995,995,3,995,995,995,1,3,1,995,995,0,0,0,995
995,995,1,995,995,995,995,995,995,995,995,3,995,995,995,1,3,0,995,995,1,1,0,995
995,995,1,995,995,995,995,995,995,995,995,2,995,995,995,995,1,1,995,995,1,995,1,995
995,995,0,995,995,995,995,995,995,995,0,2,995,995,995,0,3,0,0,995,1,1,1,995
995,995,1,995,995,995,995,995,995,995,995,3,995,995,995,1,1,0,995,995,1,0,0,995
995,995,1,995,995,995,995,995,995,995,995,2,995,995,995,995,4,1,995,995,1,995,1,995
995,995,1,995,995,995,995,995,995,995,995,2,995,995,995,1,3,1,995,995,1,1,1,995
0,0,1,0,995,995,995,995,995,995,995,2,995,995,0,1,3,1,995,995,1,1,1,0
995,995,1,995,0,3,0,995,0,0,995,3,995,995,995,1,4,1,995,995,1,1,1,995
995,995,1,995,995,995,995,995,995,995,995,1,995,995,995,995,1,1,995,995,1,995,1,995
995,995,1,995,0,2,0,995,0,0,995,4,995,995,995,1,2,1,995,995,1,0,0,995
995,995,1,995,995,1,995,995,995,995,995,2,995,995,995,1,3,1,995,995,1,0,1,995
995,995,0,995,995,995,995,995,995,995,995,1,995,995,995,995,3,0,995,995,1,995,0,995
995,995,1,995,995,1,995,995,995,995,995,1,995,995,995,1,4,0,995,995,0,0,0,995
995,995,1,995,995,995,995,995,995,995,995,2,995,995,995,995,3,1,995,995,0,995,1,995
995,995,0,995,995,995,995,995,995,995,995,1,995,995,995,995,1,0,995,995,1,995,0,995
0,0,1,0,995,995,995,995,995,995,995,3,995,995,1,995,1,1,995,995,1,995,1,0
995,995,1,995,995,995,995,995,995,995,995,2,995,995,995,1,3,1,995,995,1,1,1,995
995,995,1,995,995,2,995,995,995,995,995,4,995,995,995,995,2,1,995,995,1,995,1,995
995,995,1,995,995,995,995,995,995,995,995,2,995,995,995,995,2,1,995,995,1,995,1,995
995,995,1,995,0,1,0,995,0,0,995,5,995,995,995,1,2,1,995,995,1,0,1,995
995,995,1,995,0,995,0,995,0,0,995,4,995,995,995,1,3,1,995,995,0,1,1,995
995,995,1,995,995,995,995,995,995,995,995,2,995,995,995,995,2,0,995,995,0,995,0,995
995,995,1,995,995,995,995,995,995,995,995,1,995,995,995,995,2,0,995,995,0,995,0,995
995,995,0,995,995,995,995,995,995,995,995,2,995,995,995,995,3,0,995,995,0,995,0,995
1,0,1,0,995,995,995,995,995,995,995,1,995,995,0,995,1,1,995,995,1,995,1,0
995,995,1,995,995,2,995,995,995,995,995,4,995,995,995,1,3,1,995,995,0,1,1,995
1,0,1,0,995,995,995,995,995,995,995,1,995,995,0,995,1,1,995,995,1,995,1,0
995,995,0,995,995,995,995,995,995,995,995,2,995,995,995,1,1,0,995,995,1,0,0,995
995,995,0,995,1,995,0,995,1,0,995,4,995,995,995,1,3,0,995,995,1,1,0,995
995,995,0,995,995,995,995,995,995,995,995,1,995,995,995,1,1,0,995,995,1,0,0,995
995,995,0,995,995,995,995,995,995,995,995,4,995,995,995,1,3,0,995,995,0,1,0,995
995,995,1,995,995,995,995,995,995,995,995,1,995,995,995,1,3,1,995,995,1,1,1,995
995,995,1,995,995,2,995,995,995,995,995,2,995,995,995,995,1,0,995,995,1,995,1,995
995,995,1,995,995,995,995,995,995,995,995,4,995,995,995,1,3,1,995,995,1,1,1,995
995,995,1,995,0,995,0,995,0,0,995,5,995,995,995,995,1,0,995,995,1,995,1,995
995,995,1,995,995,3,995,995,995,995,995,1,995,0,995,995,4,1,995,0,0,995,1,995
995,995,1,995,995,995,995,995,995,995,995,1,995,995,995,1,3,1,995,995,1,1,1,995
995,995,1,995,995,3,995,995,995,995,995,5,995,995,995,1,3,1,995,995,1,1,1,995
995,995,1,995,0,995,1,995,0,0,995,3,995,995,995,1,1,1,995,995,0,1,1,995
995,995,1,995,995,995,995,995,995,995,995,1,995,995,995,995,1,1,995,995,1,995,1,995
995,995,0,995,995,995,995,995,995,995,995,6,995,995,995,995,1,1,995,995,1,995,1,995
995,995,1,995,995,995,995,995,995,995,995,1,995,995,995,995,2,0,995,995,0,995,0,995
995,995,0,995,995,995,995,995,995,995,995,3,995,995,995,995,3,0,995,995,1,995,0,995
995,995,1,995,0,3,0,995,0,0,995,3,995,995,995,995,1,1,995,995,1,995,1,995
995,995,1,995,995,995,995,995,995,995,995,2,995,995,995,995,2,1,995,995,1,995,1,995
995,995,1,995,995,3,995,995,995,995,995,4,995,995,995,995,1,1,995,995,1,995,1,995
995,995,0,995,995,3,995,995,995,995,995,4,995,995,995,995,2,0,995,995,0,995,0,995
995,995,1,995,995,995,995,995,995,995,995,3,995,995,995,0,1,1,995,995,1,1,1,995
995,995,1,995,995,995,995,995,995,995,995,6,995,995,995,995,3,0,995,995,1,995,0,995
995,995,1,995,995,995,995,995,995,995,995,1,995,995,995,995,2,0,995,995,0,995,0,995
995,995,1,995,995,995,995,995,995,995,995,2,995,995,995,995,1,0,995,995,1,995,1,995
995,995,0,995,995,1,995,995,995,995,995,2,995,995,995,995,3,1,995,995,1,995,1,995
995,995,0,995,995,995,995,995,995,995,995,1,995,995,995,995,2,0,995,995,0,995,0,995
995,995,1,995,995,995,995,995,995,995,995,2,995,995,995,1,7,1,995,995,1,1,1,995
995,995,1,995,995,3,995,995,995,995,995,1,995,995,995,995,4,1,995,995,1,995,1,995
995,995,1,995,0,1,0,995,0,0,995,2,995,0,995,1,4,0,995,0,0,1,0,995
995,995,1,995,995,3,995,995,995,995,995,2,995,0,995,1,2,1,995,0,1,0,1,995
995,995,1,995,995,1,995,995,995,995,995,3,995,995,995,1,3,1,995,995,1,1,1,995
995,995,0,995,995,3,995,995,995,995,995,1,995,0,995,995,3,0,995,0,1,995,0,995
995,995,0,995,995,995,995,995,995,995,995,2,995,995,995,995,1,0,995,995,0,995,0,995
995,995,1,995,995,995,995,995,995,995,995,2,995,995,995,1,3,1,995,995,1,0,1,995
995,995,1,995,995,2,995,995,995,995,995,1,995,995,995,995,2,1,995,995,1,995,1,995
995,995,1,995,995,995,995,995,995,995,995,4,995,995,995,995,1,0,995,995,0,995,0,995
995,995,0,995,995,995,995,995,995,995,995,2,995,995,995,1,3,0,995,995,0,1,0,995
995,995,1,995,995,995,995,995,995,995,995,1,995,995,995,995,4,1,995,995,1,995,1,995
995,995,1,995,995,1,995,995,995,995,995,2,995,0,995,995,3,1,995,0,1,995,1,995
995,995,1,995,995,1,995,995,995,995,995,6,995,995,995,995,2,1,995,995,1,995,1,995
995,995,1,995,995,3,995,995,995,995,995,5,995,0,995,995,1,1,995,0,1,995,1,995
995,995,1,995,995,995,995,995,995,995,995,2,995,995,995,995,3,1,995,995,1,995,1,995
995,995,1,995,995,995,995,995,995,995,995,2,995,995,995,1,3,1,995,995,1,0,1,995
0,0,0,0,995,995,995,995,995,995,995,5,995,995,0,995,3,1,995,995,1,995,1,0
995,995,1,995,995,995,995,995,995,995,995,1,995,995,995,995,2,0,995,995,0,995,0,995
995,995,1,995,995,995,995,995,995,995,995,2,995,995,995,995,3,1,995,995,0,995,1,995
995,995,1,995,995,995,995,995,995,995,995,1,995,995,995,995,3,1,995,995,1,995,1,995
995,995,1,995,0,995,0,995,0,0,995,2,995,995,995,1,2,0,995,995,1,1,1,995
995,995,1,995,995,995,995,995,995,995,995,1,995,995,995,1,1,0,995,995,0,1,0,995
995,995,0,995,995,995,995,995,995,995,995,1,995,995,995,995,4,1,995,995,1,995,1,995
995,995,1,995,995,3,995,995,995,995,995,1,995,995,995,995,2,1,995,995,1,995,1,995
995,995,1,995,995,995,995,995,995,995,995,1,995,995,995,995,1,1,995,995,1,995,1,995
995,995,1,995,995,3,995,995,995,995,995,2,995,995,995,995,2,0,995,995,0,995,1,995
995,995,1,995,995,3,995,995,995,995,995,1,995,995,995,995,2,0,995,995,0,995,0,995
995,995,0,995,995,1,995,995,995,995,995,1,995,0,995,995,2,0,995,1,0,995,0,995
0,0,1,0,995,995,995,995,995,995,995,5,995,995,1,1,1,1,995,995,1,1,1,0
995,995,1,995,995,995,995,995,995,995,995,2,995,995,995,995,3,1,995,995,1,995,1,995
995,995,1,995,995,995,995,995,995,995,995,2,995,995,995,1,3,0,995,995,1,0,1,995
995,995,0,995,995,995,995,995,995,995,995,3,995,995,995,1,3,0,995,995,0,0,0,995
995,995,1,995,995,995,995,995,995,995,995,1,995,995,995,995,3,1,995,995,0,995,0,995
995,995,1,995,995,995,995,995,995,995,995,1,995,995,995,995,2,1,995,995,1,995,1,995
995,995,1,995,0,2,0,0,0,0,995,1,0,995,995,1,3,1,995,995,0,0,1,995
995,995,1,995,995,995,995,995,995,995,995,3,995,995,995,1,1,1,995,995,1,1,0,995
995,995,1,995,995,3,995,995,995,995,995,3,995,995,995,995,4,1,995,995,1,995,1,995
995,995,0,995,995,3,995,995,995,995,995,1,995,995,995,995,2,0,995,995,0,995,0,995
995,995,1,995,995,995,995,995,995,995,995,1,995,995,995,1,4,1,995,995,1,1,1,995
995,995,1,995,995,3,995,995,995,995,995,2,995,995,995,1,2,1,995,995,1,1,1,995
995,995,0,995,995,3,995,995,995,995,995,4,995,995,995,995,4,0,995,995,1,995,0,995
995,995,0,995,995,995,995,995,995,995,995,2,995,995,995,995,4,0,995,995,0,995,0,995
995,995,1,995,995,995,995,995,995,995,995,3,995,995,995,995,2,1,995,995,1,995,1,995
995,995,0,995,995,3,995,995,995,995,995,2,995,995,995,995,4,0,995,995,1,995,0,995
