indicator_2_3,indicator_5_1,indicator_2_5,overall_rating,indicator_4_4,indicator_3_7,indicator_1_1,indicator_1_2,indicator_3_5
P,P,WD,WD,WD,WD,WD,WD,WD
P,U,U,U,P,WD,P,U,P
U,U,U,U,P,U,U,U,U
WD,WD,WD,WD,WD,WD,WD,P,WD
P,P,P,P,P,P,P,P,P
P,P,P,P,P,P,P,P,P
P,P,P,P,P,P,P,U,WD
P,P,P,P,P,P,P,P,P
WD,WD,P,WD,WD,WD,WD,WD,WD
P,U,P,P,P,WD,U,U,P
WD,P,WD,P,WD,P,WD,P,WD
U,U,U,U,U,WD,P,P,U
P,P,P,P,P,P,P,P,P
P,U,P,P,U,P,WD,P,P
P,U,U,P,P,U,P,WD,P
P,U,U,U,U,P,P,P,P
P,WD,WD,WD,WD,WD,WD,WD,WD
WD,WD,WD,WD,WD,WD,WD,WD,WD
WD,WD,WD,WD,WD,WD,P,P,WD
P,WD,WD,P,WD,WD,P,U,P
WD,P,WD,WD,WD,WD,WD,WD,WD
WD,P,P,WD,WD,WD,WD,WD,P
WD,P,WD,P,P,WD,WD,P,P
P,P,WD,P,P,WD,P,P,P
P,P,P,P,P,WD,P,U,WD
WD,P,WD,WD,WD,WD,WD,P,WD
P,P,P,P,P,WD,P,P,WD
P,P,P,P,P,WD,P,P,P
WD,P,WD,WD,WD,WD,WD,WD,WD
WD,WD,P,P,P,P,P,U,U
WD,WD,WD,WD,P,P,WD,WD,WD
P,P,P,P,WD,WD,WD,U,P
WD,WD,WD,WD,WD,WD,WD,P,WD
P,P,P,WD,WD,WD,WD,WD,WD
P,P,P,P,P,P,P,U,P
P,P,P,P,P,P,P,P,P
P,P,P,P,P,P,P,P,P
P,P,P,P,P,P,P,U,P
P,P,WD,P,P,WD,P,P,P
P,P,P,P,P,P,P,P,P
WD,P,P,P,P,WD,WD,P,P
WD,P,WD,WD,WD,WD,WD,WD,WD
WD,WD,WD,WD,WD,WD,WD,WD,WD
P,P,P,P,WD,P,P,P,WD
WD,P,P,P,P,P,WD,P,WD
WD,WD,WD,WD,WD,WD,WD,WD,WD
P,U,P,P,U,P,P,P,P
P,U,P,P,U,P,P,U,P
P,P,P,P,U,P,P,P,P
P,WD,P,WD,WD,WD,WD,WD,WD
WD,WD,P,P,P,WD,WD,P,P
U,P,P,P,P,P,P,U,P
P,U,U,U,P,U,P,P,P
WD,WD,WD,WD,WD,WD,WD,WD,WD
WD,P,WD,P,P,WD,P,P,WD
WD,P,P,P,P,WD,WD,P,P
P,P,WD,P,WD,WD,WD,P,WD
P,U,U,U,U,P,U,U,U
WD,WD,WD,WD,WD,WD,WD,WD,WD
WD,P,P,P,P,WD,WD,P,P
P,P,P,P,P,P,WD,WD,P
WD,WD,P,WD,WD,WD,WD,WD,WD
P,WD,WD,P,WD,WD,WD,WD,WD
WD,P,P,P,P,WD,P,P,P
P,P,P,P,P,WD,P,P,WD
WD,WD,WD,WD,WD,WD,WD,P,WD
WD,P,WD,WD,WD,WD,WD,WD,WD
WD,P,P,P,WD,WD,P,P,P
P,P,U,P,P,P,P,U,P
P,P,P,P,P,WD,WD,P,P
WD,WD,WD,WD,WD,WD,WD,WD,WD
WD,P,WD,WD,WD,WD,WD,WD,WD
WD,WD,WD,WD,P,WD,WD,WD,WD
WD,U,P,P,P,P,P,P,WD
P,U,U,P,U,WD,WD,WD,WD
WD,WD,WD,WD,WD,WD,WD,WD,WD
P,P,P,P,WD,WD,P,P,WD
WD,U,P,P,WD,WD,WD,P,P
WD,P,P,P,P,WD,P,P,WD
WD,WD,WD,WD,WD,WD,WD,WD,WD
P,U,P,P,P,WD,P,P,P
P,P,U,P,P,P,P,P,P
P,U,P,P,WD,P,P,P,P
P,P,P,P,P,WD,P,P,P
WD,WD,WD,WD,WD,WD,WD,WD,WD
WD,U,P,P,WD,WD,P,U,P
WD,P,WD,P,WD,WD,WD,WD,P
WD,WD,P,WD,WD,WD,WD,WD,WD
P,U,P,P,P,P,P,P,P
WD,P,P,P,P,WD,P,P,P
WD,WD,WD,WD,WD,WD,P,P,WD
P,P,P,P,P,WD,P,WD,P
WD,WD,WD,WD,WD,WD,WD,U,WD
P,P,P,P,P,WD,P,P,WD
P,P,WD,P,P,WD,WD,P,P
P,U,U,P,P,WD,P,P,WD
P,P,P,WD,P,P,P,P,P
P,U,P,P,P,WD,WD,WD,WD
P,U,U,U,U,P,U,P,P
