uniqueid,qbikestore8,qchildschoolsame,qborough1,qbenefits04,qschooltransitto2,qschooltravelcode15,qnationoe,qridehailpurpose05,qusetravelcode14,qbenefits09,gfocusaa1_qfocusaa6_ma7,qschooltravelcode21,qsharetravelcode26,qnyc,qpreridehailcode07,gfulltime_qparttime_ma,qusetravelcode11,qwpsurveyzone07,qzipwork1,qchildrenschoolzip1,gfocusaa1_qfocusaa1_ma6,qridehail6,gfocusaa1_qfocusaa5b_ma5,qbikeride,qday1,qshare1,qbenefits14,gfocusaa1_qfocusaa4_ma3,qschooltravelcode14,qshare7,qpreridehailcode13,qbikemany,qcarpark8,gcarreduce1_qcarreduce4_ma,qchildren,qziptravel1,qridehail5,qwpsurveyzone09,qnocitibike9,qwpsurveyzone01,qreachtravel5,qsharetravelcode23,qusetravelcode26,qhispanic_other5,qzipwork5,finishtime_est,qpreridehailcode22,qzipwork2,gfocusaa1_qfocusaa4_ma6,qsharetravelcode15,qwelfare4,qschooltravelcode27,qpreridehailcode19,qsharetravelcode22,gfocusaa1_qfocusaa5b_ma8,qdisability1,qpreridehailcode18,qagecode_final1,qsmartphone,qusetravelcode21,qpreridehailcode01,qcitibike,qschooltransitto1,gfocusaa1_qfocusaa3_ma6,qwelfare3,gfocusaa1_qfocusaa5b_ma2,qpreridehailcode17,gcarreduce1_qcarreduce3_ma,qcarpark5,qusetravelcode03,gfocusaa1_qfocusaa5_ma1,qschooltransitto6,qsunrise_append,gfulltime_qfulltime_ma,qchildrenschoolzip2,qschooltransitfrom6,gfocusaa1_qfocusaa4_ma1,qusetravelcode12,qzipwork6,qagecode_final4,qwpsurveyzone08,gimprove1_qimprove1_ma,qschooltravelcode10,qsharefreq,qschooltravelcode12,qbenefits11,qsharetravelcode16,qziptravel2,qsharetravelcode18,qincome,qtimework6,gfocusaa1_qfocusaa6_ma4,qsharetravelcode09,respondent_serial,qsharepurpose11,gfocusaa1_qfocusaa1_ma7,qsharepurpose_other9,qnocitibike8,qusetravelcode08,qnocitibike_other7,qcarpark7,qusetravelcode16,qsharetravelcode24,gfocusaa1_qfocusaa6_ma5,qwpsurveyzone03,qbiketo,gfocusaa1_qfocusaa5_ma7,qcaraccess,qschooltransitto4,qusetravelcode20,qshare2,qusetravelcode07,qlanguagepref,qsharepurpose07,qdisability6,qnocitibike3,qlanguage2oe,qsafety5,qlicense,qreachtravel7,qreachtravel1,weekday_number_of_trips,qsharetravelcode11,qreachtravel6,gfocusaa1_qfocusaa2_ma1,gcarincrease1_qcarincrease3_ma,qsharetravelcode19,qtimework2,gfocusaa1_qfocusaa6_ma6,qzipwork4,qdisability8,qsharetravelcode14,gfocusaa1_qfocusaa1_ma2,qsharetravelcode13,gcarincrease1_qcarincrease1_ma,qreachtravel3,qpreridehailcode14,qridehailpurpose09,qridehailpurpose04,qschooltravelcode01,qtimework5,qeducation,qnocitibike1,gfocusaa1_qfocusaa5_ma4,qschooltravelcode13,qcaretaker,qusetravelcode06,qcitibikefreq,qschooltravelcode07,qrace
110001231, , ,1,0, , ,1, ,0,0,1, , ,7, ,0,0,0,10018, ,1,1,0,5,1,0,0,0, ,0, ,0, , ,1, ,0,0,0,0, , ,0, , , , , ,0, ,0, , , ,0,0, ,0,2,0, ,2, ,1,0,0, , , ,0,0, ,5:24:00 AM,1, , ,1,0, ,0,0,3, , , ,0, , , ,3, ,0, , , ,0, ,0,0, , ,0, ,0,1,2,0,3, ,0,0,0,1, ,1,0,21, ,1, , , , , ,0, , , ,0, ,0, ,0, , , , , , , , ,6,0,0, ,4,0, , ,2
110002288,0, ,1,0, , ,1,1,0,0,0, , ,7,0,0,1, ,07065, ,1,0,0,4,6,0,0,0, ,0,0,2,0, ,1, ,0, ,0, , , ,0, , , ,0, ,0, ,0, ,0, ,0,0,0,0,1,1,0,2, ,0,1,0,0, ,0,1,0, ,5:29:00 AM,1, , ,0,0, ,0, ,3, , , ,0, , , ,7, ,1, , , ,0, ,0,0, ,0,0, ,0, ,2,1,1, ,0,0,0,1, ,1,1,21,2,1, , ,2, , ,1, , , ,0, ,0, ,0, , , ,0,0,0, , ,7,0,0, ,4,0, , ,1
110000637, , ,1,0, , ,1, ,0,0,1, , ,7, ,1,0, , , ,1,1,0,5,7,0,0,0, ,0, ,0, , ,1, ,0, ,0, , , ,0, , , , , ,0, ,0, , , ,0,0, ,0,1,0, ,2, ,0,0,0, , , ,1,1, ,5:25:00 AM, , , ,1,0, ,0, ,1, , , ,0, , , ,11, ,0, , , ,0, ,0,0, , ,0, ,0, ,2,0,3, ,0,0,0,1, ,1,0,21, ,2, , , , , ,1, , , ,0,REF,0, ,0, , , , , , , , ,2,0,0, ,1,0, , ,2
110002193, , ,0,0, , ,1, ,0,0,1, , ,7, ,1,0,0, , ,1,1,1,5,3,0,0,1, ,0, ,0,0, ,1, ,0,0,0,0, , ,0, , , , , ,1, ,0, , , ,0,0, ,0,1,0, ,2, ,0,1,1, , ,0,1,0, ,5:27:00 AM, , , ,1,0, ,1,0,2, , , ,0, , , ,2, ,0, , , ,0, ,0,0, ,0,0, ,0,0,2,0,2, ,0,0,0,1, ,1,0,21,1,2, , ,1, , ,0, , , ,0,10472,0, ,1, , , , , , , , ,3,0,0, ,4,0, , ,2
110000616,0, ,0,0, , ,3, ,0,0,1, , ,7, ,0,0,0,10065, ,0,1,0,5,6,0,0,0, ,0, ,1, , ,1, ,0,0,0,0, , ,0, , , , , ,0, ,0, , , ,0,0, ,0,1,0, ,2, ,0,1,0, , , ,1,1, ,5:26:00 AM,1, , ,0,0, ,0,0,1, , , ,0, , , ,9, ,0, , , ,1, ,0,0, , ,0, ,0,1,2,0,3, ,0,0,0,1, ,1,0,11, ,1, , ,2, , ,0, , , ,0, ,0, ,0, , , , , , , , ,7,0,0, ,3,0, , ,1
110001081, , ,1,0, , ,7, ,0,0,1, , ,7, ,0,1, ,REF, ,1,1,0,5,6,0,0,0, ,0, ,0,0, ,1, ,0, ,0, , , ,0, , , , , ,1, ,0, , , ,0,0, ,0,1,0, ,2, ,0,1,0, , ,0,0,0, ,5:24:00 AM,1, , ,0,0, ,0, ,1, , , ,0, , , ,5, ,0, , , ,0, ,0,0, ,0,0, ,0, ,2,0,1, ,0,0,0,1, ,1,0,2,2,1, , ,1, , ,1, , , ,0, ,0, ,0, , , , , , , , ,7,0,0, ,1,0, , ,2
110000960, , ,1,0, , ,6, ,0,0,0, , ,7, ,0,1,0,10017, ,0,1,0,5,3,0,0,1, ,0, ,0,0, ,1, ,0,0,0,0, , ,0, , , , , ,0, ,0, , , ,0,0, ,0,1,0, ,2, ,1,1,0, , ,0,1,1, ,5:25:00 AM,1, , ,0,0, ,0,0,1, , , ,0, , , ,6, ,1, , , ,0, ,0,0, ,0,0, ,0,1,2,0,1, ,0,0,0,1, ,1,0,20,3,1, , ,4, , ,1, , , ,0, ,0, ,1, , , , , , , , ,6,1,0, ,1,0, , ,3
110000861, , ,1, , ,0,1, ,0, ,0,0, ,6, , ,0, , ,01120,0,1,0,5,2,0, ,0,0,0, ,0, , ,2, ,0, ,0, , , ,0, , , , , ,0, ,0,0, , ,0,0, ,1,1,0, ,2, ,0,0,1, , , ,0,0, ,5:25:00 AM, , , ,0,0, ,0, ,1,0, ,0, , , , ,2, ,0, , , ,0, ,0,0, , ,0, ,0, ,2,0,3, ,0,0,0,1, ,1,0,1, ,2, , ,1, , ,0, , , ,0, ,0, ,1, , , , , , ,1, ,4,0,0,0,4,0, ,0,6
110002071, , ,0, , , ,2, ,0, ,0, , ,5, , ,0, , , ,1,1,0,5,2,0, ,0, ,0, ,0, , ,1, ,0, ,0, , , ,0, , , , , ,0, ,0, , , ,0,0, ,0,1,0, ,2, ,0,1,0, , , ,1,1, ,5:27:00 AM, , , ,1,0, ,0, ,1, , , , , , , ,4, ,1, , , ,0, ,0,0, , ,0, ,0, ,2,0,3, ,0,0,0,2, ,1,0,1, ,2, , ,2, , ,0, , , ,0, ,0, ,0, , , , , , , , ,6,0,0, ,1,0, , ,6
110001002, , ,0, , , ,7,1,0, ,1, , ,6,0, ,0, , , ,1,0,0,5,4,0, ,0, ,0,0,0,0, ,1, ,0, ,0, , , ,0, , , ,0, ,0, ,0, ,0, ,0,0,0,0,2,0,0,2, ,0,1,0,0, ,0,0,1, ,5:24:00 AM, , , ,0,0, ,0, ,1, , , , , , , ,4, ,0, , , ,0, ,0,0, ,0,0, ,0, ,2,0,1, ,0,0,0,1, ,1,0,21,2,1, , ,3, , ,0, , , ,0, ,0, ,0, , , ,0,0,1, , ,4,0,0, ,4,0, , ,6
110001269, , ,1, , , ,7, ,0, ,0, , ,7, , ,1, , , ,0,1,1,5,2,0, ,0, ,0, ,0,0, ,1, ,0, ,0, , , ,0, , , , , ,0, ,0, , , ,0,0, ,0,1,0, ,2, ,1,1,0, , ,0,0,0, ,5:24:00 AM, , , ,0,0, ,0, ,2, , , , , , , ,5, ,0, , , ,0, ,0,0, ,0,0, ,1, ,2,0,1, ,0,0,0,1, ,1,0,21,2,1, , ,2, , ,0, , , ,0, ,0, ,0, , , , , , , , ,4,0,0, ,4,0, , ,2
110000398, , ,1,0, , ,1,0,0,0,0, , ,7,0,0,0,0,10003, ,0,0,0,5,5,0,0,0, ,0,0,0,0, ,1, ,0,0,0,0, , ,0, , , ,0, ,0, ,0, ,0, ,0,0,0,0,1,0,1,2, ,0,1,1,0, ,0,0,0, ,5:32:00 AM,1, , ,1,0, ,1,0,1, , , ,0, , , ,9, ,1, , , ,0, ,0,0, ,0,0, ,0,1,2,0,1, ,0,0,0,1, ,1,0,21,2,1, , ,2, , ,1, , , ,0, ,0, ,0, , , ,0,1,0, , ,4,0,0, ,4,0, , ,1
110001143,0, ,1, , , ,1, ,0, ,1, , ,7, , ,0, , , ,0,1,0,5,7,0, ,0, ,0, ,2,0, ,1, ,0, ,0, , , ,0, , , , , ,0, ,0, , , ,0,0, ,0,2,0, ,2, ,0,1,0, , ,0,0,0, ,5:24:00 AM, , , ,1,0, ,0, ,2, , , , , , , ,11, ,0, , , ,0, ,0,0, ,0,0, ,0, ,2,0,1, ,0,0,0,1, ,0,0,12,5,2, , , , , ,0, , , ,0, ,0, ,1, , , , , , , , ,3,0,0, ,1,0, , ,6
110000800, , ,0, , , ,1, ,0, ,1, , ,7, , ,1, , , ,0,1,0,5,1,0, ,0, ,0, ,0,0, ,1, ,0, ,0, , , ,0, , , , , ,0, ,0, , , ,0,0, ,0,2,0, ,2, ,0,1,0, , ,0,0,0, ,5:25:00 AM, , , ,1,0, ,0, ,3, , , , , , , ,11, ,0, , , ,1, ,0,0, ,0,0, ,0, ,2,1,1, ,0,0,0,1, ,0,0,21,2,1, , , , , ,1, , , ,0, ,0, ,0, , , , , , , , ,7,0,0, ,4,0, , ,9
110001556, , ,0,0, , ,2, ,0,0,1, , ,2, ,0,0, ,99999, ,0,1,0,5,7,0,0,1, ,0, ,0, , ,1, ,0, ,0, , , ,0, , , , , ,1, ,0, , , ,0,0, ,0,2,0, ,2, ,0,1,0, , , ,0,0, ,5:24:00 AM,1, , ,0,0, ,1, ,1, , , ,0, , , ,3, ,0, , , ,0, ,0,0, , ,0, ,0, ,2,0,3, ,0,0,0,2, ,1,0,1, ,1, , , , , ,0, , , ,0, ,0, ,0, , , , , , , , ,4,0,0, ,4,0, , ,2
110000793, , ,0,0, ,0,2,0,0,0,0,0, ,6, ,0,1,0,REF,10451,0,0,0,5,1,0,0,0,0,0, ,0,0, ,3, ,0,0,0,0, , ,0, , , , , ,0, ,0,0, , ,0,0, ,0,1,0, ,2, ,0,1,0, , ,0,0,0, ,5:25:00 AM,1, , ,0,0, ,0,0,3,0, ,0,0, , , ,3, ,0, , , ,0, ,0,0, ,0,0, ,0,1,2,0,1, ,0,0,0,1, ,1,0,2,1,1, , , , , ,0, , , ,1, ,0, ,0, , , , ,0,1,1, ,4,0,0,0,3,0, ,0,6
110000362,0, ,0, , ,0,1, ,0, ,0,0, ,7, , ,0, , ,10308,1,1,0,2,3,0, ,0,0,0, ,2,0, ,2, ,0, ,0, , , ,1, , , , , ,1, ,0,0, , ,1,0, ,0,1,0, ,2, ,1,1,0, , ,0,0,0, ,5:32:00 AM, , , ,0,0, ,0, ,1,0, ,1, , , , ,6, ,0, , , ,0, ,0,0, ,0,0, ,1, ,2,0,2, ,0,0,0,1, ,0,0,21,1,1, , ,2, , ,0, , , ,0, ,0, ,0, , , , , , ,0, ,7,0,0,0,3,0, ,0,1
110001983,0, ,1,0, , ,1, ,0,0,1, , ,7, ,0,1,0,10036, ,1,1,0,5,1,0,0,1, ,0, ,1,0, ,1, ,0,0,0,0, , ,0, , , , , ,0, ,0, , , ,0,0, ,0,1,0, ,2, ,0,1,0, , ,0,0,0, ,5:27:00 AM,1, , ,1,0, ,0,0,2, , , ,0, , , ,6, ,0, , , ,0, ,0,0, ,0,0, ,0,1,2,1,1, ,0,0,0,1, ,1,0,21,2,1, , , , , ,1, , , ,0, ,0, ,0, , , , , , , , ,6,0,0, ,4,0, , ,6
110002279, , ,1,0, , ,1,1,0,0,1, , ,6,0,0,1, , , ,0,0,0,5,6,0,0,1, ,0,0,0,0, ,1, ,0, ,0, , , ,0, , , ,0, ,1, ,0, ,0, ,0,0,1,0,1,0,0,2, ,0,1,0,0, ,0,0,1, ,5:29:00 AM, , , ,1,0, ,1, ,1, , , ,0, , , ,7, ,0, , , ,0, ,0,0, ,0,0, ,0, ,2,0,1, ,0,0,0,1, ,1,0,2,2,1, , ,0, , ,1, , , ,0, ,0, ,1, , , ,0,0,0, , ,6,0,0, ,3,0, , ,3
110001773, , ,0, , , ,1, ,0, ,1, , ,7, , ,1, , , ,1,1,0,5,5,0, ,1, ,0, ,0,0, ,1, ,0, ,0, , , ,0, , , , , ,0, ,0, , , ,0,0, ,0,1,0, ,2, ,0,1,0, , ,0,0,0, ,5:25:00 AM, , , ,0,0, ,0, ,1, , , , , , , ,11, ,0, , , ,0, ,0,0, ,0,0, ,0, ,2,0,2, ,0,0,0,1, ,0,0,2,2,1, , ,0, , ,0, , , ,0, ,0, ,0, , , , , , , , ,5,0,0, ,1,0, , ,6
110000099, , ,0, , , ,3,1,0, ,0, , ,7,1, ,1, , , ,0,0,1,5,7,0, ,0, ,0,0,0,0, ,1, ,0, ,0, , , ,0, , , ,0, ,1, ,0, ,0, ,0,0,0,0,1,0,0,2, ,0,1,0,1, ,0,0,0, ,5:36:00 AM, , , ,1,0, ,0, ,2, , , , , , , ,6, ,1, , , ,0, ,0,0, ,0,0, ,0, ,2,0,1, ,0,0,1,1, ,1,0,21,2,1, , ,4, , ,1, , , ,0, ,0, ,0, , , ,0,0,0, , ,6,0,0, ,4,0, , ,1
110000923, , ,1, , , ,1, ,0, ,0, , ,5, , ,0, , , ,1,1,1,5,3,0, ,0, ,0, ,0, , ,1, ,0, ,0, , , ,0, , , , , ,1, ,0, , , ,0,0, ,0,2,0, ,2, ,0,0,0, , , ,1,0, ,5:25:00 AM, , , ,1,0, ,0, ,2, , , , , , , ,1, ,0, , , ,0, ,0,0, , ,0, ,1, ,2,0,3, ,0,0,0,1, ,1,0,21, ,2, , ,0, , ,1, , , ,0, ,0, ,0, , , , , , , , ,2,0,0, ,3,0, , ,2
110002148, , ,1, , , ,1, ,0, ,1, , ,7, , ,0, , , ,1,1,0,5,3,0, ,0, ,0, ,0, , ,1, ,0, ,0, , , ,1, , , , , ,0, ,0, , , ,0,0, ,0,2,0, ,2, ,0,1,0, , , ,0,0, ,5:27:00 AM, , , ,0,0, ,0, ,2, , , , , , , ,2, ,0, , , ,0, ,0,0, , ,0, ,0, ,2,0,3, ,0,0,0,1, ,1,0,21, ,2, , ,0, , ,0, , , ,0, ,0, ,0, , , , , , , , ,3,0,0, ,4,0, , ,1
110000907, , ,0,0, ,0,1, ,0,0,0,0, ,6, ,0,0,0,55555,55555,0,1,0,5,2,0,0,0,0,0, ,0, , ,3, ,0,0,0,0, , ,0, , , , , ,0, ,0,0, , ,0,0, ,0,1,0, ,2, ,0,1,0, , , ,0,0, ,5:25:00 AM,1, , ,0,0, ,0,0,2,0, ,0,0, , , ,3, ,0, , , ,0, ,0,0, , ,0, ,0,1,2,0,3, ,0,0,0,1, ,1,0,2, ,2, , ,2, , ,0, , , ,0, ,0, ,1, , , , , , ,1, ,4,0,0,0,4,0, ,0,6
110001940,0, ,1,0, , ,2, ,0,0,0, , ,7, ,0,0, ,00999, ,0,1,0,3,7,0,0,0, ,0, ,2,0, ,1, ,0, ,0, , , ,0, , , , , ,0, ,0, , , ,1,0, ,0,1,0, ,2, ,0,1,0, , ,0,1,0, ,5:26:00 AM,1, , ,0,0, ,1, ,2, , , ,0, , , ,5, ,0, , , ,0, ,0,0, ,0,0, ,1, ,1,0,1, ,0,0,0,1, ,1,1,1,2,1, , , , , ,0, , , ,0, ,0, ,0, , , , , , , , ,7,0,0, ,4,1, , ,2
110001324, , ,0, , , ,2,1,0, ,0, , ,6,0, ,0,0, , ,0,0,0,5,3,0, ,1, ,1,0,0,0, ,1, ,0,0,0,0, , ,0, , , ,0, ,0, ,0, ,0, ,0,0,0,0,2,0,0,2, ,1,0,0,0, ,0,1,0, ,5:24:00 AM, , , ,0,0, ,0,0,2, , , , , , , ,1, ,1, , , ,1, ,0,0, ,0,0, ,0,0,2,1,2, ,0,0,0,2, ,0,0,2,2,2, , ,3, , ,0, , , ,0, ,0, ,0, , , ,0,0,0, , ,1,0,0, ,4,0, , ,6
110000240, , ,1,0, , ,1, ,0,0,1, , ,7, ,2,0,0, , ,0,1,0,5,4,0,0,0, ,0, ,0,0, ,1, ,0,0,0,0, , ,0, ,10002, , , ,1, ,0, , , ,0,0, ,0,2,0, ,2, ,0,1,0, , ,0,0,0, ,5:33:00 AM,0, , ,0,0, ,1,0,1, , , ,0, , , ,4, ,0, , , ,0, ,0,0, ,0,0, ,0,1,2,0,2, ,0,0,0,1, ,1,0,21,5,1, , , , , ,1,4, , ,0,10002,0, ,0, ,99, , , , , ,10,6,0,0, ,1,0, , ,1
110000621,0, ,1,0, , ,1,1,0,0,0, , ,5,0,0,0,0,10019, ,1,0,0,3,6,0,0,0, ,0,0,1,0, ,1, ,0,0, ,0, , ,0, , , ,0, ,0, ,0, ,0, ,0,0,0,0,1,0,0,1, ,0,1,1,1, ,0,0,1, ,5:26:00 AM,1, , ,0,0, ,1,0,1, , , ,0, , , ,6, ,0, , , ,0, , ,0, ,0,0, ,1,1,2,0,1, ,0,0,0,1, ,1, ,20,1,1, , ,4, , ,1, , , ,1, ,0, ,1, , , ,0,0,0, , ,7, ,0, ,4,0,5, ,1
110000560, , ,0, , ,0,2,0,0, ,0,0, ,3,0, ,0, , ,REF,0,0,0,4,5,0, ,0,0,0,0,0, , ,5, ,0, ,0, , , ,0, , , ,0, ,0, ,0,0,0, ,0,0,0,1,1,0,1,2, ,0,1,1,0, , ,0,0, ,5:26:00 AM, ,REF, ,0,0, ,0, ,1,0, ,0, , , , ,10, ,0, , , ,0, ,0,0, , ,0, ,0, ,2,0,3, ,0,0,0,1, ,1,1,2, ,2, , ,1, , ,1, , , ,0, ,0, ,0, , , ,0,0,1,1, ,2,0,0,0,4,0, ,0,5
110001373,0, ,0,0, ,0,1,0,0,0,1,0, ,6,0,0,0, ,11424,11375,0,0,0,5,4,0,0,1,0,0,0,1,0, ,2, ,0, ,0, , , ,0, , , ,0, ,1, ,0,0,0, ,0,0,0,0,1,0,0,2, ,0,1,0,1, ,0,0,1, ,5:24:00 AM,1, , ,1,0, ,1, ,1,0, ,1,0, , , ,8, ,0, , , ,0, ,0,0, ,0,0, ,0, ,2,0,1, ,0,0,0,1, ,0,1,21,2,1, , ,5, , ,1, , , ,0, ,0, ,0, , , ,0,0,0,0, ,6,0,0,0,3,0, ,0,1
110000561, , ,0,0, ,0,2, ,0,0,1,0, ,6, ,1,0,0,10301,10306,0,1,0,5,5,0,0,0,0,0, ,0,0, ,3, ,0,0,0,0, , ,0, , , , , ,0, ,0,0, , ,0,0, ,0,1,0, ,2, ,0,1,0, , ,0,0,0, ,5:26:00 AM,1, , ,1,0, ,0,0,2,0, ,0,0, , , ,4, ,0, , , ,0, ,0,0, ,0,0, ,0,0,2,0,1, ,0,0,0,1, ,1,0,2,1,1, , ,2, , ,0, , , ,0,99999,0, ,0, , , , , , ,1, ,6,0,0,0,3,0, ,0,6
110001466,0, ,0,0, ,0,1, ,0,0,1,0, ,6, ,1,0,0,10001,REF,0,1,0,5,5,0,0,0,0,0, ,1, , ,2, ,0,0,0,1, , ,0, , , , , ,1, ,0,0, , ,0,0, ,0,1,0, ,2, ,0,1,0, , , ,1,0, ,5:24:00 AM,1, , ,0,0, ,0,0,2,0, ,0,0, , , ,2, ,0, , , ,0, ,0,0, , ,0, ,0,0,2,1,3, ,0,0,0,1, ,1,0,21, ,2, , ,2, , ,0, , , ,0,11233,0, ,0, , , , , , ,0, ,4,0,0,0,3,0, ,0,2
110001639, , ,0,0, , ,2, ,0,0,0, , ,3, ,1,0,0, , ,1,0,0,5,2,0,0,0, ,0, ,0, , ,1, ,0,0,0,0, , ,0, , , , , ,0, ,0, , , ,0,0, ,0,2,0, ,2, ,0,1,0, , , ,1,0, ,5:25:00 AM, , , ,0,0, ,0,0,2, , , ,0, , , ,10, ,0, , , ,0, ,0,0, , ,1, ,0,0,2,0,3, ,0,0,0,2, ,0,0,1, ,2, , ,2, , ,0, , , ,0,10034,0, ,0, , , , , , , , ,3,0,0, ,4,0, , ,6
110001014, , ,0, , , ,1, ,0, ,0, , ,7, , ,0, , , ,0,1,0,5,5,0, ,0, ,0, ,0, , ,1, ,0, ,0, , , ,0, , , , , ,0, ,0, , , ,0,0, ,0,2,0, ,2, ,0,1,0, , , ,1,1, ,5:24:00 AM, , , ,1,0, ,0, ,2, , , , , , , ,2, ,0, , , ,0, ,0,0, , ,0, ,0, ,2,0,3, ,0,0,0,1, ,0,0,21, ,1, , ,0, , ,0, , , ,0, ,0, ,0, , , , , , , , ,2,0,0, ,4,0, , ,6
110001760,0, ,1, ,0,0,1, ,0, ,0,0, ,7, , ,0, , ,11211,1,1,1,5,4,0, ,1,0,0, ,2, , ,5, ,0, ,0, , , ,0, , , , , ,1, ,0,0, , ,0,0, ,0,2,0, ,2,1,1,0,1, , , ,0,1,0,5:25:00 AM, , ,0,1,0, ,0, ,1,0, ,0, , , , ,2, ,1, , , ,0, ,0,0, , ,0, ,1, ,2,0,3,0,0,0,0,1, ,1,0,19, ,2, , ,0, , ,1, , , ,0, ,0, ,1, , , , , , ,1, ,3,0,0,0,4,0, ,0,1
110001254, , ,0,0, , ,6,0,0,0,1, , ,7,0,0,0, ,01110, ,1,0,0,5,2,0,0,0, ,0,0,0, , ,1, ,0, ,0, , , ,0, , , ,0, ,1, ,0, ,0, ,0,0,0,0,1,0,0,2, ,1,1,0,0, , ,1,0, ,5:24:00 AM,1, , ,0,0, ,0, ,1, , , ,0, , , ,11, ,0, , , ,0, ,0,0, , ,0, ,0, ,2,0,3, ,0,0,0,1, ,1,0,21, ,1, , ,1, , ,1, , , ,0, ,0, ,0, , , ,0,0,0, , ,3,0,0, ,4,0, , ,3
110001644,0, ,1,0,0,0,1, ,0,0,0,0, ,7, ,0,0, ,10010,55555,0,1,0,1,2,0,0,0,0,0, ,3,0, ,2, ,0, , , , , ,0, , , , , ,1, ,0,0, , ,0,0, ,0,1,1, ,1,1,0,1,1, , ,0,1,1,0,5:25:00 AM,1, ,0,0,0, ,0, ,1,0, ,0,1, , , ,11, ,0, , , ,0, , ,0, ,0,0, ,0, ,1,0,1,0,0,0,0,1, ,1, ,8,1,1, , ,2, , ,0, , , ,0, ,0, ,0, , , , , , ,1, ,6, ,0,0,4,0,1,0,1
110002086, , ,0, , , ,1, ,0, ,1, , ,7, , ,1, , , ,0,1,0,5,2,0, ,0, ,0, ,0, , ,1, ,0, ,0, , , ,0, , , , , ,0, ,0, , , ,0,0, ,0,2,0, ,2, ,0,1,0, , , ,0,0, ,5:27:00 AM, , , ,0,0, ,0, ,2, , , , , , , ,10, ,0, , , ,0, ,0,0, , ,0, ,0, ,2,1,3, ,0,0,0,1, ,1,0,21, ,1, , , , , ,0, , , ,0, ,0, ,0, , , , , , , , ,4,0,0, ,4,0, , ,2
110001265,0, ,0,0, , ,1, ,0,0,0, , ,6, ,0,0, ,00999, ,0,1,0,1,2,0,0,0, ,0, ,10,0, ,7, ,0, ,0, , , ,0, , , , , ,0, ,0, , , ,0,0, ,0,2,1, ,2, ,0,1,1, , ,0,0,0, ,5:24:00 AM,1, , ,0,0, ,0, ,2, , , ,0, , , ,8, ,0, , , ,0, ,0,0, ,0,1, ,0, ,1,0,1, ,1,0,0,1, ,1,1,8,1,1, , ,3, , ,0, , , ,1, ,0, ,1, , , , , , , , ,7,0,0, ,6,0, , ,9
110000026,0, ,0, , , ,1, ,0, ,0, , ,7, , ,0, , , ,0,1,0,1,3,0, ,0, ,0, ,2,0, ,1, ,0, ,0, , , ,0, , , , , ,1, ,0, , , ,0,0, ,0,1,0, ,2, ,0,1,0, , ,0,0,1, ,5:38:00 AM, , , ,0,0, ,0, ,1, , , , , , , ,5, ,1, , , ,0, ,0,0, ,0,0, ,0, ,1,0,1, ,0,0,0,1, ,1,1,21,1,1, , , , , ,1, , , ,0, ,0, ,0, , , , , , , , ,7,0,0, ,4,0, , ,1
110001891, , ,1, , , ,1, ,0, ,1, , ,7, , ,0, , , ,0,1,0,5,7,0, ,0, ,0, ,0, , ,1, ,0, ,0, , , ,0, , , , , ,1, ,0, , , ,0,0, ,0,2,0, ,2, ,0,1,0, , , ,1,0, ,5:26:00 AM, , , ,0,0, ,0, ,1, , , , , , , ,11, ,0, , , ,0, ,0,0, , ,0, ,0, ,2,1,3, ,0,0,0,1, ,1,0,2, ,2, , , , , ,0, , , ,0, ,0, ,0, , , , , , , , ,7,0,0, ,4,0, , ,1
110000893, , ,0, , , ,1, ,0, ,1, , ,7, , ,1, , , ,0,1,0,5,2,0, ,0, ,0, ,0, , ,1, ,0, ,0, , , ,0, , , , , ,1, ,0, , , ,0,0, ,0,3,0, ,2, ,0,1,0, , , ,0,0, ,5:25:00 AM, , , ,0,1, ,0, ,1, , , , , , , ,3, ,0, , , ,1, ,0,0, , ,0, ,0, ,2,1,3, ,0,0,0,1, ,0,0,21, ,3, , ,0, , ,0, , , ,0, ,0, ,0, , , , , , , , ,4,0,0, ,4,0, , ,2
110000608,0, ,1, , , ,3, ,0, ,0, , ,6, , ,0, , , ,0,1,0,5,6,0, ,0, ,0, ,1, , ,1, ,0, ,0, , , ,0, , , , , ,0, ,0, , , ,0,0, ,0,1,0, ,2, ,0,0,0, , , ,1,0, ,5:26:00 AM, , , ,0,0, ,0, ,1, , , , , , , ,10, ,0, , , ,0, ,0,0, , ,0, ,0, ,2,0,3, ,0,0,0,1, ,1,1,1, ,1, , ,2, , ,1, , , ,1, ,0, ,0, , , , , , , , ,4,0,0, ,1,0, , ,1
110001060,0, ,0,0, ,0,1, ,0,0,0,0, ,7, ,0,0,0,11273,10035,0,1,0,2,5,0,0,0,0,0, ,1, , ,3, ,0,0,0,1, , ,0, , , , , ,0, ,0,0, , ,0,0, ,0,2,0, ,2, ,0,1,0, , , ,1,0, ,5:24:00 AM,1, , ,1,0, ,1,0,1,0, ,0,1, , , ,5, ,1, , , ,0, ,0,0, , ,0, ,0,0,1,1,3, ,0,0,0,1, ,1,0,21, ,1, , ,2, , ,1, , , ,0, ,0, ,0, , , , , , ,1, ,5,1,0,0,3,0, ,0,2
