street_address,community_board,owner_officer_3_last_name,officer_equivalent_2,individual_role_3,individual_title_3,individual_title_2,owner_officer_5_last_name
260 Hathaway Drive,,,,,,,
199 bush street,306.0,,Chief Executive Officer,,,president,
151 INDUSTRIAL LOOP,503.0,,,,,,
818 6TH AVENUE,105.0,,,,,,
26 Journal Square Plaza,,Steinberg,,Owner,Principle,OWNER,Steinberg
519 8th Avenue,104.0,Ramos,,Owner,Owner,Officer,Dressel
21 Quine Street,,,,,,Project Manager,
3935 White Plains Road,212.0,,,,,Vice President,
P. O. Box 80,,,,,,,
365 babylon turnpike,,,,,,,
670 southern blvd,202.0,,,,,,
202 Elm St.,,Mohammed,,Both,Manager,President,
35-00 Farrington Street,407.0,Bohrer,,Both,Vice President,Principal,Bohrer
"409 Joyce Kilmer Ave, 317",,,,,,president,
225 E Mosholu Parkway N Apt 2B,207.0,Osornio,Chief Executive Officer,Owner,President,PRESIDENT,
"22 Arlo Rd, #2B",501.0,,,,,,
1623 Cody Avenue,405.0,,,,,,
124 Westervelt Avenue,,Weissman,,Owner,Owner,owner,
315 West 33rd Street,104.0,,,,,President,
10 Elaine Drive,,,,,,,
80 East Artisan Ave,,Blonder,Chief Executive Officer,Owner,President,Manager,
1855 Imperial Ave,,,,,,,
151-47 21st Avenue,407.0,Colarusso,,Officer,President,,
28 Old Dock Road,,Pereira,,Both,president,Officer,Pereira
65 TUCKAHOE AVENUE,,,,,,,
843 S. Ocean Ave,,,,,,President,
400  2nd Avenue,106.0,Barak,,Officer,CEO,CEO,Erez
91-28 175th St,412.0,,,,,,
P.O BOX 9,,,,,,President,
P.O.Box 9,,,,,,,
