business_name,license_nbr,license_nbr_1,business_name_1,total_swc_chairs
SWEET CHICK FLATBUSH LLC,2059550-DCA,2059550-DCA,SWEET CHICK FLATBUSH LLC,34.0
SOUTH LAKE HOSPITALITY GROUP INC.,1428232-DCA,1428232-DCA,SOUTH LAKE HOSPITALITY GROUP INC.,19.0
120 U REST. LLC,1412892-DCA,1412892-DCA,120 U REST. LLC,24.0
NEW YORK BURGER 10th AVE INC.,2041410-DCA,2041410-DCA,NEW YORK BURGER 10th AVE INC.,54.0
PQ 933 BROADWAY INC.,1454646-DCA,1454646-DCA,PQ 933 BROADWAY INC.,15.0
"HASHEM MELECH, INC",2060235-DCA,2060235-DCA,"HASHEM MELECH, INC",48.0
"CAFE 71, INC.",1223566-DCA,1223566-DCA,"CAFE 71, INC.",29.0
ONE MELON LLC,2021429-DCA,2021429-DCA,ONE MELON LLC,28.0
PATRICIAS MORRIS PARK CORP.,2014465-DCA,2014465-DCA,PATRICIAS MORRIS PARK CORP.,16.0
3713 RIVERDALE REST CORP.,2058401-DCA,2058401-DCA,3713 RIVERDALE REST CORP.,21.0
HONEYBRAINS LAFAYETTE LLC,2051482-DCA,2051482-DCA,HONEYBRAINS LAFAYETTE LLC,19.0
VIDA MEXICANA INC.,1347915-DCA,1347915-DCA,VIDA MEXICANA INC.,36.0
POLLOS MARIO WOODHAVEN CORP.,1305734-DCA,1305734-DCA,POLLOS MARIO WOODHAVEN CORP.,40.0
"TAPPO, INC.",1385967-DCA,1385967-DCA,"TAPPO, INC.",10.0
"LUNELLA RISTORANTE, INC.",1072629-DCA,1072629-DCA,"LUNELLA RISTORANTE, INC.",8.0
JPS VENTURES INC.,1283643-DCA,1283643-DCA,JPS VENTURES INC.,16.0
