fullpermitno,total_loadinweight,permittodate,permitapplication,industrytypename
X7BE-2014109-955,,2015-07-31,Overweight,Construction
T8QG-20141218-1269,,2015-10-31,Overweight,Other
FJVQ-20151020-892,,2016-03-31,Overweight,Construction
X7BE-2014109-961,,2015-07-31,Overweight,Construction
Z72R-2015423-406,,2016-04-30,Overweight,Other
EVWI-2014111-1057,,2015-10-31,Overweight,Other
DE7L-2014108-934,,2015-08-31,Overweight,Other
XQAD-20141222-1294,,2015-11-30,Overweight,Construction
EVWI-2014111-1081,,2015-10-31,Overweight,Other
B2GR-20151122-1060,,2016-10-31,Overweight,Other
KUPW-2015711-595,,2016-04-30,Overweight,Construction
EVWI-2014111-1000,,2015-10-31,Overweight,Other
GMEJ-2015722-660,,2016-06-30,Overweight,Construction
ZVPY-2015914-788,,2015-10-31,Overweight,Other
TMFM-2015819-747,,2016-07-31,Overweight,Cement
GPQZ-201482-862,,2015-08-31,Overweight,Other
V7G8-20151123-1100,,2016-10-31,Overweight,Other
EVWI-2014111-1096,,2015-10-31,Overweight,Other
FG5G-2015930-823,,2016-05-31,Overweight,Construction
B2GR-20151122-1068,,2016-10-31,Overweight,Other
TILC-2015224-25,,2015-12-31,Overweight,Other
HMQ7-2014117-1123,,2015-09-30,Overweight,Construction
TMFM-2015819-749,,2016-01-31,Overweight,Construction
EVWI-2014111-992,,2015-10-31,Overweight,Other
EVWI-2014111-988,,2015-06-30,Overweight,Construction
S8W5-2015421-382,,2015-10-31,Overweight,Other
V7G8-20151123-1086,,2016-10-31,Overweight,Other
PWXH-2015821-755,,2016-06-30,Overweight,Construction
EVWI-2014111-1062,,2015-10-31,Overweight,Other
GPQZ-201482-841,,2015-06-30,Overweight,Other
HMQ7-2014117-1132,,2015-09-30,Overweight,Other
