dbn,total_programs,printed_name,alphabetic_name_long
28Q896,1.0,"The Young Women's Leadership School, Queens","Young Women's Leadership School, Queens, The"
20K445,8.0,New Utrecht High School,New Utrecht High School
21K540,8.0,John Dewey High School,John Dewey High School
30Q258,1.0,Energy Tech High School,Energy Tech High School
29Q248,1.0,Queens Preparatory Academy,Queens Preparatory Academy
29Q283,1.0,Preparatory Academy for Writers: A College Board School,Preparatory Academy for Writers: A College Board School
09X260,1.0,Bronx Center for Science and Mathematics,Bronx Center for Science and Mathematics
10X565,1.0,High School for Energy and Technology,High School for Energy and Technology
24Q520,1.0,Middle College High School at LaGuardia Community College,Middle College High School at LaGuardia Community College
16K393,1.0,Frederick Douglass Academy IV Secondary School,Frederick Douglass Academy IV Secondary School
31R600,6.0,Ralph R. McKee Career and Technical Education High School,Ralph R. McKee Career and Technical Education High School
14K071,4.0,Juan Morel Campos Secondary School,Juan Morel Campos Secondary School
11X508,1.0,Bronxdale High School,Bronxdale High School
05M304,1.0,Mott Hall High School,Mott Hall High School
31R064,1.0,Gaynor McCown Expeditionary Learning School,Gaynor McCown Expeditionary Learning School
02M419,1.0,Landmark High School,Landmark High School
06M463,1.0,High School for Media and Communications,High School for Media and Communications
11X455,7.0,Harry S Truman High School,Harry S Truman High School
14K558,1.0,Williamsburg High School for Architecture and Design,Williamsburg High School for Architecture and Design
07X334,1.0,International Community High School,International Community High School
19K618,1.0,Academy of Innovative Technology,Academy of Innovative Technology
