nta2020,residflag,permityear,zoningdst1,floorsprop,datelstupd,job_status,schelmntry
MN0303,Residential,2023.0,,5.0,2025-04-22,5. Completed Construction,502.0
QN1403,Residential,2022.0,,2.0,2024-05-22,3. Permitted for Construction,404.0
QN1403,Residential,2022.0,,2.0,2025-05-19,3. Permitted for Construction,830.0
QN1102,Residential,2022.0,,2.0,2024-03-04,5. Completed Construction,915.0
MN1203,Residential,2022.0,,17.0,2025-03-03,5. Completed Construction,589.0
QN0203,Residential,2022.0,,3.0,2024-08-30,5. Completed Construction,900.0
BK0201,Residential,2024.0,,4.0,2024-08-06,3. Permitted for Construction,116.0
SI0105,Residential,2025.0,,3.0,2025-06-26,3. Permitted for Construction,282.0
BK0301,Residential,2025.0,,4.0,2025-05-22,3. Permitted for Construction,243.0
BK0301,Residential,2025.0,,6.0,2025-01-22,3. Permitted for Construction,31.0
BK0401,Residential,2023.0,,3.0,2025-01-31,3. Permitted for Construction,80.0
BK1202,Residential,2023.0,,3.0,2025-03-03,3. Permitted for Construction,228.0
BK0402,Residential,2025.0,,4.0,2025-06-09,3. Permitted for Construction,88.0
BK0402,Residential,2025.0,,4.0,2024-12-02,3. Permitted for Construction,112.0
BK0402,Residential,2023.0,R6,,2023-09-18,5. Completed Construction,92.0
BK0402,Residential,2023.0,R6,,2024-05-08,1. Filed Application,206.0
BK0602,Residential,2023.0,,3.0,2024-10-07,5. Completed Construction,109.0
MN0203,Residential,2022.0,,4.0,2024-11-15,5. Completed Construction,875.0
MN0203,Residential,2021.0,R6,5.0,2023-08-11,3. Permitted for Construction,875.0
BK0102,Residential,2024.0,,4.0,2024-12-09,3. Permitted for Construction,42.0
BK1702,Residential,2024.0,,5.0,2017-05-16,9. Withdrawn,695.0
BK1702,Residential,2024.0,,5.0,2025-03-04,3. Permitted for Construction,22.0
BX0602,Residential,2006.0,R7-1,3.0,2018-06-29,5. Completed Construction,906.0
BK0104,Residential,2024.0,,6.0,2025-06-09,3. Permitted for Construction,41.0
MN1201,Residential,2023.0,,4.0,2024-06-14,3. Permitted for Construction,583.0
SI0201,Residential,2023.0,,2.0,2025-04-03,5. Completed Construction,287.0
BK0101,Residential,2023.0,C4-5D,6.0,2023-12-11,3. Permitted for Construction,45.0
